"YCR024C" "YDR268W" "YGR094W" "YGR171C" "YHR011W" "YHR091C" "YKL194C" "YLR382C" "YNL073W" "YOL033W" "YPL040C" "YPL097W" "YPL104W" "YPR033C" "YPR047W" "YNL247W" "YPR081C" "YBL076C" "YBR121C" "YDR023W" "YDR037W" "YDR341C" "YER087W" "YFL022C" "YGL245W" "YGR185C" "YGR264C" "YHR019C" "YIL078W" "YLR060W" "YOL097C" "YOR335C" "YPL160W" "YHR020W" "YOR168W" "YLL018C"
4 8 46 9 9 3 12 19 3 8 12 12 12 29 5 23 6 26 25 16 21 18 10 10 35 11 22 20 17 16 6 39 43 25 20 21
4 4 16 5 6 13 4 6 3 5 8 3 11 10 4 14 4 18 17 6 14 10 3 12 13 9 11 12 17 16 7 19 24 17 7 14
7 7 7 3 12 14 2 21 9 9 17 3 9 10 1 11 9 11 7 1 1 11 6 4 3 6 13 9 3 3 7 8 24 7 15 8
2 4 2 2 5 2 2 3 6 5 5 5 3 3 3 1 2 1 0 1 1 4 5 1 1 5 1 0 2 2 2 2 6 0 6 0
3 3 13 4 1 9 4 5 3 2 4 3 3 4 4 3 3 15 5 4 9 7 4 4 10 0 10 9 10 7 4 12 15 5 3 10
2 3 1 0 3 4 3 3 2 1 7 0 1 0 3 3 2 1 2 0 1 1 2 0 0 0 1 1 0 0 1 1 1 2 0 1
1 0 1 5 2 3 1 4 2 3 4 5 2 1 1 0 5 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 1 0 1 2 0 0 0 3 0 2 2 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
13 8 20 12 7 15 10 17 11 14 18 7 17 11 16 16 16 28 26 12 23 19 12 15 23 8 12 17 27 17 10 20 20 26 14 19
3 3 6 7 7 4 5 6 12 6 13 11 9 6 4 2 9 1 3 1 2 1 6 0 3 2 1 0 2 1 1 2 5 3 5 6
17 11 23 24 19 23 17 30 19 12 29 19 26 11 16 27 22 19 13 11 10 13 24 9 15 9 30 4 12 14 7 27 18 13 15 4
7 7 26 10 8 15 12 17 16 14 22 10 11 5 11 23 12 27 10 12 11 13 11 17 21 12 24 8 20 18 4 23 21 10 12 12
13 17 45 20 15 21 17 34 18 22 36 20 25 24 23 34 23 48 29 17 24 22 31 15 43 10 30 11 30 22 20 49 50 29 16 10
5 5 24 11 6 16 11 17 13 6 16 9 14 11 9 19 13 30 20 7 17 12 10 20 21 8 15 26 14 18 15 24 14 20 9 23
5 2 10 6 5 3 2 6 4 10 11 6 3 5 1 4 6 9 6 5 8 2 11 1 6 3 10 8 9 8 5 6 11 6 7 3
3 0 3 2 3 3 3 6 5 1 3 1 5 0 5 2 2 0 0 3 1 1 4 0 1 1 0 1 3 1 1 1 2 0 2 0
18 9 29 20 14 16 12 22 17 9 32 11 13 12 9 28 13 20 15 17 24 20 11 20 16 15 24 20 23 15 19 23 31 15 14 18
5 6 4 6 8 16 7 12 10 6 17 11 10 4 3 9 12 4 1 4 2 4 11 5 0 2 3 4 4 3 3 3 6 1 1 5
24 18 73 24 17 19 22 45 20 22 53 15 28 31 24 38 32 59 52 40 46 36 27 26 44 23 44 34 56 31 22 66 81 52 29 43
9 4 19 11 16 8 9 11 15 13 14 5 18 9 11 15 14 20 9 11 9 14 10 12 2 7 7 10 8 16 6 12 18 9 8 14
8 3 49 9 6 10 13 12 9 11 12 12 14 30 2 17 15 43 30 21 29 28 14 21 24 17 29 27 31 18 17 60 42 30 17 27
3 8 7 11 3 8 3 10 11 4 12 5 7 7 6 11 4 7 5 2 2 7 8 2 6 4 2 6 5 6 4 10 9 5 3 1
8 4 2 7 10 10 5 14 5 7 18 13 7 2 8 5 10 6 4 3 1 3 11 1 6 1 5 3 6 0 2 3 3 4 13 0
5 2 1 1 3 9 1 11 3 6 5 4 4 1 3 1 8 1 2 0 1 0 3 4 1 1 1 1 5 4 2 3 6 2 3 4
5 5 17 10 3 10 10 7 6 9 25 5 10 2 9 15 9 13 12 5 7 7 8 4 4 3 17 8 13 7 7 11 12 12 9 4
9 7 7 5 1 5 2 9 3 7 9 3 2 4 5 1 4 7 3 4 9 7 5 8 10 2 5 2 6 8 2 5 8 3 5 8
11 12 46 22 13 17 15 30 15 9 29 13 18 20 16 29 22 44 21 12 17 22 13 9 28 9 23 13 21 20 11 29 46 21 24 16
5 6 27 6 7 7 7 10 9 8 20 11 13 15 8 19 10 20 14 13 10 18 11 17 18 12 15 14 13 19 6 24 22 14 11 12
15 5 1 16 15 22 7 20 12 18 23 11 12 4 11 3 12 3 2 1 1 1 14 1 4 0 3 1 1 4 2 3 6 2 9 0
20 11 30 15 11 21 9 21 16 15 34 16 16 14 9 25 16 34 18 17 12 24 17 7 19 10 22 7 21 15 7 20 28 18 13 6
10 8 42 13 10 12 10 21 19 22 26 16 20 18 12 28 23 46 32 17 27 18 15 23 32 19 34 35 31 25 16 38 30 32 21 36
5 7 8 4 5 12 7 5 8 10 16 6 4 4 8 3 4 7 3 2 5 6 5 9 1 4 4 1 1 5 3 8 5 3 8 3
3 0 2 6 2 2 3 7 4 1 10 4 6 1 4 0 2 1 0 1 1 1 2 4 1 2 1 2 0 0 0 1 1 0 1 2
9 3 6 8 8 14 7 7 8 10 23 8 8 6 6 8 7 7 2 4 5 6 6 7 7 5 8 5 6 8 4 6 9 2 9 7
4 6 8 8 6 5 6 10 17 7 10 5 8 1 4 2 6 4 1 0 2 6 11 8 1 1 6 4 3 2 3 6 4 1 4 2
24 24 50 35 26 34 23 58 16 28 50 23 37 25 26 40 29 50 30 24 23 29 35 20 27 21 34 13 32 23 18 39 47 30 24 16
10 11 63 13 16 13 18 22 32 23 29 11 24 29 14 37 17 43 30 26 25 22 15 21 49 21 28 30 33 23 26 52 53 30 15 32
8 10 16 9 10 20 14 24 12 12 15 7 15 12 14 12 18 18 12 6 20 19 16 14 17 9 10 11 22 13 8 10 27 12 16 11
21 11 19 15 9 17 15 28 19 21 25 15 31 10 13 23 24 22 22 7 13 15 18 7 8 12 18 7 18 13 16 26 30 22 10 12
9 5 24 14 5 16 16 18 11 5 13 7 8 10 6 15 15 31 11 13 17 14 5 19 21 8 14 15 21 16 19 27 29 11 5 16
9 9 17 9 6 5 7 20 11 12 11 6 8 7 6 9 8 14 7 3 7 5 6 8 8 6 9 3 4 7 7 11 19 7 11 7
3 0 2 3 1 4 4 9 6 3 9 5 4 1 4 5 4 2 0 1 0 3 4 4 2 2 1 2 0 0 1 4 1 0 3 5
11 6 31 11 10 10 8 14 3 9 13 5 18 7 7 13 8 28 23 15 23 11 9 8 20 17 24 17 22 21 12 22 29 23 15 14
2 2 2 5 2 3 4 11 7 2 8 0 4 0 3 3 5 1 0 0 3 1 1 0 0 1 0 0 2 2 1 1 3 0 3 0
