"district" "x" "y"
"S01" 178 262
"S01" 167 269
"S01" 147 269
"S01" 126 248
"S01" 136 237
"S01" 154 237
"S01" 161 247
"S01" 176 246
"S02" 127 233
"S02" 127 213
"S02" 128 203
"S02" 140 200
"S02" 144 200
"S02" 151 209
"S02" 160 220
"S02" 154 237
"S02" 136 237
"S03" 161 247
"S03" 176 246
"S03" 184 237
"S03" 181 225
"S03" 178 222
"S03" 160 220
"S03" 154 237
"S04" 188 237
"S04" 199 225
"S04" 191 213
"S04" 180 211
"S04" 181 192
"S04" 175 190
"S04" 167 202
"S04" 151 209
"S04" 160 220
"S04" 178 222
"S04" 181 225
"S04" 184 237
"S05" 128 203
"S05" 140 200
"S05" 141 188
"S05" 132 182
"S05" 127 178
"S05" 114 169
"S05" 109 171
"S05" 100 196
"S05" 116 210
"S06" 144 200
"S06" 151 209
"S06" 167 202
"S06" 175 190
"S06" 157 174
"S06" 141 188
"S06" 140 200
"S07" 101 173
"S07" 74 148
"S07" 74 145
"S07" 76 120
"S07" 89 122
"S07" 115 165
"S07" 114 169
"S07" 109 171
"S08" 95 100
"S08" 100 100
"S08" 108 115
"S08" 110 133
"S08" 130 151
"S08" 127 178
"S08" 114 169
"S08" 115 165
"S08" 89 122
"S09" 149 148
"S09" 167 148
"S09" 186 159
"S09" 201 163
"S09" 192 184
"S09" 175 190
"S09" 157 174
"S09" 141 188
"S09" 132 182
"S10" 130 151
"S10" 143 139
"S10" 144 124
"S10" 164 124
"S10" 186 125
"S10" 198 136
"S10" 204 137
"S10" 211 159
"S10" 201 163
"S10" 186 159
"S10" 167 148
"S10" 149 148
"S10" 132 182
"S10" 127 178
"S11" 110 133
"S11" 108 115
"S11" 136 115
"S11" 144 124
"S11" 143 139
"S11" 130 151
"S12" 40 112
"S12" 32 111
"S12" 23 86
"S12" 30 85
"S12" 41 90
"S12" 58 82
"S12" 66 82
"S12" 76 120
"S12" 74 145
"S13" 78 78
"S13" 87 87
"S13" 103 88
"S13" 95 100
"S13" 89 122
"S13" 76 120
"S13" 66 82
"S14" 149 82
"S14" 154 88
"S14" 152 101
"S14" 136 115
"S14" 108 115
"S14" 100 100
"S14" 95 100
"S14" 103 88
"S15" 171 90
"S15" 185 89
"S15" 185 93
"S15" 164 124
"S15" 144 124
"S15" 136 115
"S15" 152 101
"S15" 154 88
"S16" 41 90
"S16" 30 85
"S16" 23 86
"S16" 15 49
"S16" 30 34
"S16" 51 44
"S16" 72 45
"S16" 73 50
"S16" 57 55
"S16" 58 82
"S17" 81 66
"S17" 78 78
"S17" 66 82
"S17" 58 82
"S17" 57 55
"S17" 73 50
"S18" 91 56
"S18" 109 56
"S18" 114 61
"S18" 116 74
"S18" 103 88
"S18" 87 87
"S18" 78 78
"S18" 81 66
"S19" 136 57
"S19" 157 64
"S19" 149 82
"S19" 103 88
"S19" 116 74
"S19" 114 61
"S20" 154 88
"S20" 149 82
"S20" 157 64
"S20" 136 57
"S20" 137 50
"S20" 159 45
"S20" 172 55
"S20" 171 90
"S21" 189 68
"S21" 194 68
"S21" 201 76
"S21" 197 91
"S21" 185 93
"S21" 185 89
"S21" 171 90
"S21" 172 55
"S22" 30 22
"S22" 43 10
"S22" 97 14
"S22" 95 22
"S22" 77 44
"S22" 72 45
"S22" 51 44
"S22" 30 34
"S23" 119 44
"S23" 126 39
"S23" 137 50
"S23" 136 57
"S23" 114 61
"S23" 109 56
"S23" 91 56
"S23" 81 66
"S23" 73 50
"S23" 72 45
"S23" 77 44
"S23" 95 22
