"Fauvette_orphee" "Fauvette_des_jardins" "Fauvette_a_tete_noire" "Fauvette_babillarde" "Fauvette_grisette" "Fauvette_pitchou" "Fauvette_passerinette" "Fauvette_melanocephale" "Hibou_petit_duc" "Chouette_de_Tengmalm" "Chouette_cheveche" "Chouette_chevechette" "Chouette_hulotte" "Chouette_effraie" "Bruant_fou" "Bruant_ortolan" "Bruant_zizi" "Bruant_jaune" "Bruant_proyer"
0 2 2 1 1 0 0 0 0 2 0 1 2 0 2 0 0 2 0
0 2 2 1 1 0 0 0 0 2 1 1 2 1 2 0 1 2 0
0 2 2 2 1 0 0 0 0 2 1 1 3 1 2 0 1 2 0
0 3 2 1 0 0 0 0 0 1 1 1 2 1 1 0 1 2 1
0 3 2 1 2 0 0 0 0 1 1 1 2 1 1 1 1 2 1
0 2 2 1 0 0 0 0 0 1 1 0 2 1 1 0 1 2 0
0 2 3 1 1 0 0 0 0 2 2 1 3 2 1 1 1 2 1
0 2 2 1 2 0 0 0 0 1 1 0 2 1 1 0 1 2 0
0 3 2 2 1 0 0 0 1 2 1 0 2 1 2 2 1 2 0
1 3 2 3 1 0 0 0 1 2 1 1 2 1 3 2 1 3 1
0 3 2 2 1 0 0 0 0 1 0 0 1 0 1 1 1 3 0
1 2 2 2 2 0 0 0 1 2 1 1 3 2 2 1 1 3 0
0 2 2 1 1 0 0 0 0 0 1 0 2 1 1 2 1 3 1
1 3 3 2 1 0 0 0 1 1 1 1 2 1 2 1 1 1 0
1 2 2 1 2 0 0 0 1 1 0 1 1 1 3 2 2 3 1
2 2 3 1 3 1 3 0 3 1 2 0 3 2 2 3 3 1 2
1 3 2 0 1 0 0 0 1 1 1 0 3 1 2 2 1 3 1
0 2 1 2 2 0 0 0 0 1 1 0 3 0 3 3 2 3 1
0 3 2 2 2 0 0 0 0 2 2 0 3 1 3 3 2 3 1
1 3 3 2 2 0 0 0 1 2 1 1 3 1 3 3 2 3 1
0 2 2 2 2 0 0 0 0 2 1 1 2 0 2 2 1 2 0
2 2 3 0 3 2 3 2 3 0 2 0 3 2 2 3 3 1 2
1 3 3 1 3 0 2 0 2 1 2 0 3 2 3 3 2 1 3
