"x1" "y1" "x2" "y2"
167 269 178 262
147 269 167 269
126 248 147 269
126 248 136 237
176 246 178 262
127 213 127 233
127 213 128 203
127 233 136 237
176 246 184 237
188 237 199 225
191 213 199 225
180 211 191 213
180 211 181 192
175 190 181 192
184 237 188 237
100 196 109 171
100 196 116 210
116 210 128 203
74 148 101 173
74 145 74 148
101 173 109 171
192 184 201 163
175 190 192 184
164 124 186 125
186 125 198 136
198 136 204 137
204 137 211 159
201 163 211 159
32 111 40 112
23 86 32 111
40 112 74 145
164 124 185 93
15 49 23 86
15 49 30 34
137 50 159 45
159 45 172 55
189 68 194 68
194 68 201 76
197 91 201 76
185 93 197 91
172 55 189 68
30 22 43 10
43 10 97 14
95 22 97 14
30 22 30 34
119 44 126 39
126 39 137 50
95 22 119 44
