"mini.jan" "maxi.jan" "mini.jul" "maxi.jul" "rain.jan" "rain.jul" "rain.tot"
-6.6 1.1 9.7 22.9 131.5 139.5 1596.5
-7.5 0.1 8.2 20.8 115 145 1613
-8.5 -0.1 8.6 22 113 146.5 1738
-9.2 -1.7 6.5 17.3 103 138 1630
-8 0.2 7.5 21.6 110 129 1491.5
-7.8 0.5 8.6 21 113 130 1415
-2.9 2.8 11.5 19.8 188.5 141.5 1848.5
-8.4 -1 8.3 21.1 100 120 1472.5
-6.8 2.3 8.8 21.4 100 85 978.5
-6.8 0.8 9.5 22.8 75 38 784.5
-6.3 1.9 8.1 19.2 77 80.5 976
-4 5.5 10.5 24.2 69 79 1238.5
-7.2 1.2 9.6 22.9 65 72.5 1125
-10.1 0.2 5.3 19.7 65 70 1025
-8.9 2.2 7.6 22.7 65 41 771.5
-1.6 7.3 12.6 27.6 51 47.5 920
-4 5 10 24.5 66 57.5 1010
-6.6 2.8 8.9 24.7 98.5 52 1116
-7 1.8 8.6 21.9 112 68 1247.5
-6.3 3.5 10.5 24.3 57.5 55 767.5
-8.6 2.6 7.6 22.4 49.5 48.5 766.5
-3.4 7.3 12.5 27.4 56.5 29.5 926.5
-6.6 4 9.8 26 77.5 47 955
