"reg" "x" "y"
"a1" 383 21
"a1" 383 52
"a1" 360 37
"a1" 368 13
"a2" 321 17
"a2" 315 45
"a2" 340 51
"a2" 344 50
"a2" 345 44
"a2" 330 17
"a3" 279 60
"a3" 302 76
"a3" 311 74
"a3" 313 70
"a3" 312 48
"a3" 285 42
"a4" 313 70
"a4" 336 63
"a4" 340 51
"a4" 315 45
"a4" 312 48
"a5" 370 71
"a5" 383 52
"a5" 360 37
"a5" 345 44
"a5" 344 50
"a6" 344 50
"a6" 340 51
"a6" 336 63
"a6" 341 79
"a6" 349 82
"a6" 370 71
"a7" 311 74
"a7" 325 91
"a7" 341 79
"a7" 336 63
"a7" 313 70
"a8" 307 111
"a8" 324 101
"a8" 325 91
"a8" 311 74
"a8" 302 76
"a8" 295 94
"a9" 295 94
"a9" 276 96
"a9" 272 94
"a9" 279 60
"a9" 302 76
"10" 233 99
"10" 240 120
"10" 244 122
"10" 258 116
"10" 264 96
"10" 248 88
"11" 213 103
"11" 217 133
"11" 240 120
"11" 233 99
"12" 352 100
"12" 377 101
"12" 370 71
"12" 349 82
"13" 324 101
"13" 339 111
"13" 342 111
"13" 352 100
"13" 349 82
"13" 341 79
"13" 325 91
"14" 365 128
"14" 377 101
"14" 352 100
"14" 342 111
"15" 339 111
"15" 327 142
"15" 365 128
"15" 342 111
"16" 315 143
"16" 301 122
"16" 307 111
"16" 324 101
"16" 339 111
"16" 327 142
"17" 301 122
"17" 285 123
"17" 276 96
"17" 295 94
"17" 307 111
"18" 277 128
"18" 285 123
"18" 276 96
"18" 272 94
"18" 264 96
"18" 258 116
"19" 277 128
"19" 273 141
"19" 251 142
"19" 244 122
"19" 258 116
"20" 221 138
"20" 243 154
"20" 251 142
"20" 244 122
"20" 240 120
"20" 217 133
"21" 243 154
"21" 243 162
"21" 238 166
"21" 216 157
"21" 221 138
"22" 256 169
"22" 243 162
"22" 243 154
"22" 251 142
"22" 273 141
"22" 269 166
"23" 301 122
"23" 315 143
"23" 299 154
"23" 273 141
"23" 277 128
"23" 285 123
"24" 289 178
"24" 269 166
"24" 273 141
"24" 299 154
"25" 280 196
"25" 257 187
"25" 256 169
"25" 269 166
"25" 289 178
"26" 271 216
"26" 248 204
"26" 249 195
"26" 257 187
"26" 280 196
"27" 241 207
"27" 235 224
"27" 258 232
"27" 271 216
"27" 248 204
"28" 207 212
"28" 223 196
"28" 241 207
"28" 235 224
"29" 207 212
"29" 198 211
"29" 194 199
"29" 205 176
"29" 223 183
"29" 223 196
"30" 223 183
"30" 230 179
"30" 238 166
"30" 216 157
"30" 209 162
"30" 205 176
"31" 243 162
"31" 256 169
"31" 257 187
"31" 249 195
"31" 230 179
"31" 238 166
"32" 248 204
"32" 241 207
"32" 223 196
"32" 223 183
"32" 230 179
"32" 249 195
"33" 216 157
"33" 221 138
"33" 217 133
"33" 200 134
"33" 191 144
"33" 209 162
"34" 181 148
"34" 179 152
"34" 187 170
"34" 205 176
"34" 209 162
"34" 191 144
"35" 161 171
"35" 173 183
"35" 187 170
"35" 179 152
"35" 158 161
"36" 161 171
"36" 148 185
"36" 162 200
"36" 173 191
"36" 173 183
"37" 162 200
"37" 160 210
"37" 137 211
"37" 132 188
"37" 136 185
"37" 148 185
"38" 131 218
"38" 121 218
"38" 114 213
"38" 111 193
"38" 112 190
"38" 117 188
"38" 132 188
"38" 137 211
"39" 93 219
"39" 89 215
"39" 90 200
"39" 111 193
"39" 114 213
"40" 91 178
"40" 112 190
"40" 111 193
"40" 90 200
"40" 80 189
"41" 66 201
"41" 77 188
"41" 80 189
"41" 90 200
"41" 89 215
"41" 71 219
"42" 66 201
"42" 71 219
"42" 69 222
"42" 52 222
"42" 38 204
"42" 49 197
"43" 173 183
"43" 173 191
"43" 194 199
"43" 205 176
"43" 187 170
"44" 168 225
"44" 160 210
"44" 162 200
"44" 173 191
"44" 194 199
"44" 198 211
"45" 141 238
"45" 131 218
"45" 137 211
"45" 160 210
"45" 168 225
"46" 110 243
"46" 121 218
"46" 131 218
"46" 141 238
"47" 98 244
"47" 93 219
"47" 114 213
"47" 121 218
"47" 110 243
"48" 74 245
"48" 69 222
"48" 71 219
"48" 89 215
"48" 93 219
"48" 98 244
"49" 42 242
"49" 52 222
"49" 69 222
"49" 74 245
"50" 35 204
"50" 38 204
