"x"
"Grebe castagneux"
"Bihoreau gris"
"Heron cendre"
"Canard colvert"
"Milan noir"
"Buse variable"
"Faucon crecerelle"
"Caille des bles"
"Faisan de Colchide"
"Rale d'eau"
"Poule d'eau"
"Foulque macroule"
"Courlis cendre"
"Mouette rieuse"
"Pigeon ramier"
"Tourterelle turque"
"Tourterelle des bois"
"Coucou gris"
"Marinet noir"
"Pic vert"
"Pic epeiche"
"Pic tridactyle"
"Alouette des champs"
"Hirondelle de cheminee"
"Bergeronnette grise"
"Trogloyte"
"Rougegorge familier"
"Rossignol philomele"
"Rougequeue noir"
"Rougequeue a front blanc"
"Merle noir"
"Grive musicienne"
"Grive draine"
"Locustelle luscinoide"
"Rousserole effarvate"
"Rousserolle turdoide"
"Hypolais polyglotte"
"Fauvette grisette"
"Fauvette des jardins"
"Fauvette a tete noire"
"Pouillot veloce"
"Pouillot fitis"
"Mesange a longue queue"
"Mesange boreale"
"Mesange bleue"
"Mesange charbonniere"
"Sitelle torchepot"
"Grimpereau des jardins"
"Loriot d'Europe"
"Geai des chenes"
"Pie bavarde"
"Corbeau freux"
"Corneille noire"
"Etourneau sansonnet"
"Moineau domestique"
"Pinson des arbres"
"Serin cini"
"Verdier d'Europe"
"Chardonneret elegant"
"Tarin des aulnes"
"Linotte melodieuse"
"Bruant zizi"
"Bruant des roseaux"
"Bruant proyer"
