"x" "y"
373.5 30.75
332.5 37.333
300.33 61.667
323.2 55.4
360.4 50.8
346.67 66
325.2 75.4
310.67 91.167
284.8 84
247.83 106.83
225.75 113.75
362 88.5
338.86 96.429
359 110
343.25 123
318.83 121.67
292.8 109.2
272 108.83
260.6 129.8
236 134.83
232.2 155.4
255.83 155.67
291.67 135.17
282.5 159.75
270.2 179.2
261 199.6
250.6 216.6
226.5 209.75
208.33 196.17
220.17 170.5
245.5 176.33
235.67 194
209 144.67
192 158.67
171.6 167.4
163.4 186
145.83 196.5
121.88 202.38
99.4 208
96.8 190
78.833 202
57.5 210.83
186.4 183.8
175.83 206
147.4 220.4
125.75 229.25
107.2 227.4
82.333 227.33
59.25 232.75
36.2 218.2
22.5 200.25
24.75 175.75
50 164.33
49.5 140.25
162.88 144.5
148.67 171.33
136.33 154.17
124.8 139
126.33 175.17
104 174
112.17 152.83
89.5 149
70 149.4
79.286 173.29
61.8 186.8
40.5 190.33
92.6 127.4
70.333 126.83
350.75 27.75
306.8 34.6
263.8 80.8
198.2 95.8
192.2 72.2
187.5 53.25
173 41.75
153.5 45.25
141 63.8
125 81
131.2 99
167 65.857
154.57 89.857
179.4 90.2
201.8 118.6
186.2 134
176 114
150.5 116.83
125.67 117.67
104.29 104.57
83 110.5
140.6 133.4
112 126.5
