"id" "x" "y"
"a" 47.1 279.4
"a" 50.6 275.8
"a" 50 271.7
"a" 54.2 271.7
"a" 57.8 276.4
"a" 60.1 273.5
"a" 61.3 276.4
"a" 64.9 276.4
"a" 64.9 274.7
"a" 68.4 274.1
"a" 72.6 275.8
"a" 76.2 277.6
"a" 78.5 280
"a" 85.7 270.5
"a" 82.7 268.1
"a" 80.3 265.7
"a" 75.6 265.7
"a" 74.4 262.2
"a" 67.9 261.6
"a" 58.9 259.2
"a" 52.4 255.1
"a" 48.2 253.3
"a" 41.7 255.6
"a" 37 256.2
"a" 31.6 258.6
"a" 37.5 260.4
"a" 37.5 264
"a" 32.2 267.5
"a" 39.9 268.1
"a" 43.5 269.9
"a" 42.9 270.5
"a" 35.8 273.5
"a" 39.9 277
"a" 43.5 278.2
"a" 46.5 279.4
"b" 74.7 191.7
"b" 70.2 189.1
"b" 65.7 187.8
"b" 62.4 182.6
"b" 56.6 182.6
"b" 54.6 178.7
"b" 52.7 174.8
"b" 55.3 171.6
"b" 44.9 165.1
"b" 44.9 160.6
"b" 53.3 157.3
"b" 58.5 156.7
"b" 66.3 161.9
"b" 70.9 161.9
"b" 77.3 178.7
"b" 83.2 181.3
"b" 81.2 190.4
"b" 75.4 191.1
"b" 75.4 191.1
"c" 100.7 219.6
"c" 108.5 217.7
"c" 104.6 211.2
"c" 116.3 208.6
"c" 101.4 196.9
"c" 107.2 195.6
"c" 107.2 187.8
"c" 113 176.8
"c" 111.1 171
"c" 117.6 172.2
"c" 120.2 165.1
"c" 111.1 161.2
"c" 116.3 156.7
"c" 104.6 152.8
"c" 87.1 152.1
"c" 82.5 146.9
"c" 76 147.6
"c" 68.3 146.3
"c" 81.2 156
"c" 85.1 155.4
"c" 89.7 158.6
"c" 78.6 158.6
"c" 77.3 163.8
"c" 83.8 166.4
"c" 83.2 174.2
"c" 92.9 172.9
"c" 96.2 178.1
"c" 94.9 183.9
"c" 89.7 185.9
"c" 87.7 187.2
"c" 89 193.7
"c" 83.8 193.7
"c" 84.5 198.2
"c" 83.2 199.5
"c" 85.8 205.3
"c" 85.8 209.9
"c" 94.9 210.5
"c" 101.4 219.6
"d" 104.6 58
"d" 99.4 55.5
"d" 98.1 52.9
"d" 100.1 50.3
"d" 104.6 50.3
"d" 103.3 56.1
"d" 103.3 56.1
"e" 148.1 65.8
"e" 144.2 64.5
"e" 140.3 64.5
"e" 138.3 58.7
"e" 139.6 52.2
"e" 139 50.3
"e" 140.9 45.1
"e" 148.7 49
"e" 150 56.1
"e" 153.9 59.3
"e" 150 63.2
"e" 147.4 65.8
"f" 150 84.7
"f" 148.1 80.1
"f" 144.2 78.8
"f" 144.2 73.6
"f" 148.7 68.4
"f" 152 71
"f" 154.6 77.5
"f" 152.6 79.5
"f" 151.3 84
"g" 164.9 36.6
"g" 173.4 38.6
"g" 178.6 36
"g" 187 40.5
"g" 183.1 27.6
"g" 181.2 23.7
"g" 176.6 26.3
"g" 176.6 30.1
"g" 169.5 32.1
"g" 164.9 37.3
"h" 246.7 15.9
"h" 248 9.4
"h" 256.4 8.7
"h" 264.2 9.4
"h" 264.2 12.6
"h" 253.8 13.3
"h" 246 16.5
"i" 373.2 281.9
"i" 368.7 281.9
"i" 363.5 280.6
"i" 358.9 283.9
"i" 364.8 287.1
"i" 361.5 292.3
"i" 351.2 294.2
"i" 354.4 286.4
"i" 354.4 281.9
"i" 357.6 281.9
"i" 360.9 278.7
"i" 353.8 276.1
"i" 349.2 278
"i" 337.5 271.5
"i" 342.7 264.4
"i" 335.6 264.4
"i" 327.2 268.3
"i" 325.2 267
"i" 331 261.8
"i" 331 258.5
"i" 326.5 258.5
"i" 318.1 262.4
"i" 314.2 268.9
"i" 314.2 275.4
"i" 306.4 280.6
"i" 328.5 276.1
"i" 340.1 276.7
"i" 342.7 283.9
"i" 310.3 300.1
"i" 307.7 300.1
"i" 286.3 310.5
"i" 269.4 310.5
"i" 262.9 309.2
"i" 258.4 305.9
"i" 246.7 305.9
"i" 238.3 298.8
"i" 235 294.9
"i" 230.5 297.5
"i" 222 289
"i" 227.9 289
"i" 215.5 278.7
"i" 202.6 265
"i" 188.9 256
"i" 173.4 251.4
"i" 163.6 243.6
"i" 161 230
"i" 161.7 215.1
"i" 168.2 212.5
"i" 178.6 216.4
"i" 185.7 220.9
"i" 188.9 227.4
"i" 189.6 212.5
"i" 194.8 202.1
"i" 194.8 200.1
"i" 186.4 195
"i" 184.4 193.7
"i" 183.1 185.2
"i" 190.2 187.2
"i" 200.6 191.1
"i" 203.9 195.6
"i" 214.9 197.6
"i" 223.3 219.6
"i" 234.4 226.8
"i" 225.3 234.5
"i" 233.1 250.8
"i" 248.6 262.4
"i" 253.2 270.2
"i" 260.3 272.2
"i" 270.1 269.6
"i" 270.1 265.7
"i" 248.6 249.5
"i" 248.6 227.4
"i" 255.8 225.5
"i" 276.5 230.6
"i" 288.9 229.3
"i" 291.5 228
"i" 279.1 223.5
"i" 273.9 224.8
"i" 256.4 222.2
"i" 256.4 217
"i" 263.6 209.2
"i" 255.8 203.4
"i" 251.2 209.2
"i" 242.8 201.4
"i" 240.9 187.8
"i" 227.9 182
"i" 219.4 185.9
"i" 198 179.4
"i" 192.8 181.3
"i" 192.8 184.6
"i" 190.2 184.6
"i" 178.6 180.7
"i" 173.4 189.8
"i" 182.5 196.3
"i" 180.5 203.4
"i" 183.1 210.5
"i" 171.4 206
"i" 165.6 196.9
"i" 166.9 186.5
"i" 166.9 179.4
"i" 162.3 174.2
"i" 155.9 176.1
"i" 149.4 172.9
"i" 142.9 173.5
"i" 136.4 167.1
"i" 126 156
"i" 116.3 154.7
"i" 114.3 145.6
"i" 107.8 144.3
"i" 102.6 143
"i" 102.6 137.9
"i" 98.1 138.5
"i" 94.2 139.8
"i" 94.9 143.7
"i" 91.6 143.7
"i" 89.7 132
"i" 80.6 132.7
"i" 80.6 135.9
"i" 68.3 133.3
"i" 68.3 126.8
"i" 81.9 122.3
"i" 85.1 110.6
"i" 85.8 104.1
"i" 77.3 87.2
"i" 54 87.9
"i" 35.8 90.5
"i" 25.4 84.7
"i" 21.5 69.1
"i" 19.6 58
"i" 17 55.5
"i" 10.5 49.6
"i" 9.2 43.1
"i" 7.3 28.2
"i" 13.8 26.9
"i" 22.8 29.5
"i" 24.8 21.7
"i" 28.7 19.8
