"Aat" "Amy" "Es1" "Es2" "Es10" "Hbb" "Gpd1" "Idh1" "Mod1" "Mod2" "Mpi" "Np" "Pgm1" "Pgm2" "Sod"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100125" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100125" "100100" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100125" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "100110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100125" "100110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "100110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100125" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "100110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "125125" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100125" "100110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "100100" "100100" "110110" "100100" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "000000" "000000" "000000" "125125" "110110" "100100" "100100" "000000" "100100" "100100" "100100"
"100100" "080080" "100100" "095100" "100100" "110110" "095095" "100100" "110110" "100100" "120120" "085100" "100100" "100100" "100100"
"100100" "080080" "100100" "098098" "100100" "110120" "095095" "050100" "100110" "100100" "100120" "100100" "100100" "100100" "100100"
"080100" "080080" "094100" "098098" "100100" "110120" "095095" "100125" "110110" "100100" "120120" "085085" "100100" "100100" "100100"
"100100" "080080" "100100" "098098" "100100" "120120" "095095" "100100" "110110" "100100" "120120" "100100" "100100" "100100" "100100"
"100100" "080080" "100100" "098098" "100100" "110120" "095095" "100100" "110110" "100100" "120120" "085085" "080100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "110120" "095095" "050050" "110110" "100100" "100120" "085085" "080100" "100100" "100100"
"080100" "080080" "094094" "100100" "100100" "110110" "095095" "050100" "110110" "100100" "120120" "085085" "080100" "100100" "100100"
"080100" "080080" "100100" "100100" "100100" "110110" "095095" "050125" "110110" "100100" "100120" "085085" "080100" "100100" "100100"
"100100" "080080" "100100" "098098" "100100" "110110" "095095" "050050" "110110" "100100" "100120" "085085" "080100" "100100" "100100"
"080080" "080080" "100100" "098098" "100100" "110110" "095095" "050080" "110110" "100100" "100120" "100100" "080100" "100100" "100100"
"080080" "080080" "100100" "100100" "100100" "110110" "095095" "050050" "110110" "100100" "100120" "100100" "080100" "100100" "100100"
"100100" "100100" "100100" "098098" "060060" "110120" "095095" "125125" "110110" "100100" "120120" "080090" "060080" "100100" "080080"
"100100" "100100" "100100" "098100" "060060" "110120" "095095" "125125" "110120" "100100" "120120" "090090" "080080" "080100" "080080"
"100100" "100100" "100100" "098098" "060060" "110110" "095095" "125125" "120120" "100100" "100120" "080090" "080080" "080100" "080080"
"100100" "100100" "100100" "098098" "060060" "110110" "095095" "125125" "120120" "100100" "120120" "080080" "080080" "080100" "080080"
"100100" "100100" "100100" "098098" "060060" "110110" "095095" "125125" "110110" "100100" "120120" "080080" "060080" "080100" "080080"
"100100" "100100" "100100" "098098" "060100" "110110" "095095" "125125" "110120" "100100" "100120" "080090" "080080" "100100" "080080"
"100100" "100100" "100100" "098098" "060060" "110120" "095095" "125125" "110120" "100100" "120120" "080090" "080080" "100100" "080080"
"100100" "100100" "100100" "098098" "060060" "110110" "095095" "125125" "120120" "100100" "120120" "080090" "060060" "080100" "080080"
"100100" "100100" "100100" "098098" "060060" "110110" "000000" "125125" "120120" "100100" "000000" "090090" "000000" "000000" "080080"
"100100" "080080" "094100" "095095" "100100" "110120" "105105" "100125" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"080100" "080080" "094094" "100100" "100100" "110120" "105105" "100100" "110110" "100120" "100100" "100100" "100100" "100100" "100100"
"080100" "080100" "094094" "095095" "100100" "110120" "100100" "100100" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "110110" "095095" "100100" "110110" "120120" "100100" "100100" "100100" "100100" "100100"
"100100" "080100" "094094" "100100" "100100" "120120" "095095" "100100" "110110" "100120" "100100" "100100" "100100" "100100" "100100"
"100100" "080080" "094094" "100100" "100100" "110110" "100105" "100100" "100110" "120120" "100100" "100100" "100100" "100100" "100100"
"080100" "080080" "094094" "100100" "100100" "110110" "100100" "050100" "100110" "100100" "100100" "100100" "100100" "080100" "100100"
