"LoadType" "RainWind" "StockingD" "Dlairage" "Evisc"
2 0 64.4113 240 1
1 0 66.1667 255 1
1 0 63.9955 139.936 1
2 0 51.3333 185 1
1 1 71.2554 187.5 1
1 0 61.4531 137.5 1
1 0 48.6376 115 1
1 1 59.3346 202.5 1
1 1 52.5687 250 1
1 0 50.8346 147 1
1 1 57.107 127.5 1
1 0 49.036 135 1
1 0 56.2404 147.5 1
2 0 53.1511 140 1
1 0 57.8295 205 1
1 1 51.5935 130 1
1 1 51.2682 135 1
2 0 53.0344 115 1
1 1 56.968 255 1
1 0 51.053 432.5 0
1 0 53.3103 217.5 0
1 0 71.3128 107.5 0
1 0 65.7988 287.5 0
1 0 48.5343 340 0
1 0 56.0614 225 0
1 1 58.4243 197.5 0
1 0 40.9379 292.5 0
1 0 56.99 407.5 0
2 0 55.8794 415 0
1 0 63.3545 410 0
1 0 59.1092 522 0
1 0 63.6068 387.5 0
1 1 24.9331 495 0
1 0 54.5721 405 0
1 1 64.1529 455 0
1 1 52.6892 227.5 0
1 0 49.078 185 0
1 0 51.9711 175 0
1 0 52.7489 160 0
1 0 55.0447 220 0
1 1 56.7165 132.5 0
1 0 56.6113 230 0
1 0 53.3541 130 0
1 1 49.5345 257.5 0
1 0 52.4222 195 0
1 0 43.523 167.5 0
1 0 49.9454 207.5 0
1 0 51.7216 92.5 0
1 0 53.7021 197.5 0
1 0 54.1092 122.5 0
1 0 50.1637 289.5 0
1 0 58.3376 392.5 0
1 1 54.0582 165 0
1 1 55.3282 95 0
1 1 42.4671 162.5 0
1 0 48.3512 147.5 0
1 0 58.3207 222.5 1
1 0 55.4192 245 1
2 1 53.1025 175 0
2 0 56.9029 400 1
2 0 56.8234 352.5 1
1 0 57.6541 220 1
2 0 55.4015 305 1
1 1 54.5455 177.5 1
1 0 50.5366 177.5 1
1 0 44.9062 435 1
2 1 39.9351 282.5 1
1 1 48.3208 220 1
1 0 54.1682 139.5 1
2 0 51.0872 177.5 1
2 0 53.6862 202 1
1 0 47.0346 152.5 1
1 1 51.0115 227.5 1
1 1 49.3796 215 1
1 0 55.7213 240 1
1 0 59.0189 210 1
2 0 55.9694 217.5 1
2 0 51.6788 277.5 1
1 0 49.8832 57.5 1
2 0 51.4081 205 1
1 1 50.6132 235 1
1 0 45.4318 190 1
1 0 43.4807 130 1
1 0 51.3229 132.5 1
1 0 56.0589 139.5 1
1 1 57.9708 145 1
2 0 62.1453 327.5 1
1 0 70.6633 160 0
1 0 63.7205 90 0
1 0 36.5903 37.5 0
1 0 65.8373 113 0
1 0 58.3611 69 0
1 1 63.2401 102.5 0
1 0 57.6759 143 0
1 0 67.9174 22.5 0
1 0 57.3593 157.5 0
1 1 65.362 296.5 0
1 0 72.4308 85 0
1 1 62.7585 120 0
1 0 63.9048 95 0
1 0 61.0243 90 0
1 0 65.5787 40 0
1 0 66.7377 85 0
1 1 54.2596 122.5 0
1 0 55.2442 49.5 0
1 0 60.0126 77.5 0
1 0 63.8203 162.5 0
1 1 68.7702 465 1
1 0 68.9201 267.5 1
1 0 64.7375 380 1
1 1 65.1359 205 1
1 0 70.5107 355 0
1 0 66.4042 209.5 1
1 0 63.4264 377.5 0
1 1 63.8733 105.5 0
1 1 64.5357 417.5 1
1 0 62.0379 115 1
1 1 59.2758 57 1
1 0 49.0806 283.5 1
1 0 59.4211 230 1
1 0 62.6378 504 1
1 0 71.3624 190 1
1 1 67.6238 510 1
1 1 65.6239 175 1
1 0 67.7182 267.5 1
1 0 65.8981 392.5 1
1 0 40.7324 421.5 1
1 0 68.2509 263.5 1
1 0 55.775 107.5 0
1 0 59.5064 345 0
2 0 58.9734 67.5 1
1 0 58.3362 225 1
2 0 54.2478 315 1
1 1 53.5568 254.124 1
1 1 49.5568 195 1
1 0 46.6252 165 1
2 0 66.5006 192.5 1
1 0 54.5556 180 1
1 0 50.3572 150 1
2 0 45.9516 167.5 1
1 0 57.459 142.5 0
1 0 61.8923 180 0
1 0 57.3771 140 0
2 0 51.1583 171.5 1
1 0 54.7894 240 1
1 1 51.1085 205.5 1
1 0 53.4383 270 0
1 0 49.3831 127.5 0
1 0 59.535 127.818 0
1 0 54.6001 460 0
1 0 55.5512 519.346 0
1 0 55.1705 695 0
1 0 54.8341 302.5 0
1 0 52.7413 472.5 0
1 0 56.3385 500 0
1 0 52.0873 330 0
1 0 53.8566 342.5 0
1 0 54.0004 337.5 0
1 0 51.5764 540 0
1 0 53.992 310 0
1 0 55.8495 570 0
1 0 55.8788 182.5 0
1 0 55.9729 325 0
1 0 55.161 232.5 0
1 0 63.5204 279.5 0
1 0 53.2979 587.556 0
1 0 53.112 455 0
1 0 61.0146 311.5 1
1 0 61.3827 458.5 1
1 1 56.9384 244.5 0
1 0 60.8117 312 0
1 0 65.0915 255 0
1 1 60.0017 162 0
1 0 58.6958 349 0
1 0 57.6654 353 0
1 0 64.3209 575 0
1 0 59.4028 607.5 1
1 0 62.3205 319.5 0
1 1 55.383 290 0
1 0 60.8111 232 0
1 0 60.7786 174 0
2 0 64.5165 277.5 0
1 0 58.6887 144 0
1 0 56.4356 195 0
1 0 59.2162 183.5 0
1 1 56.9763 213.5 0
2 0 39.2726 290 0
1 0 59.4251 237.5 0
1 0 64.002 351 0
1 1 52.5881 370 0
2 0 64.6065 337.5 0
2 0 53.0558 403 0
1 0 55.9764 202 0
1 0 58.5253 345.5 0
1 0 58.1362 274 0
1 1 59.7056 417.5 0
1 0 61.0269 204 0
1 0 60.6061 378.5 0
1 0 75.943 310 0
1 0 64.1868 205.5 1
1 0 60.6061 62 1
1 1 61.9954 141 1
1 0 64.6189 172.5 1
1 0 63.251 238 1
1 0 48.4425 101 1
1 0 54.1084 108.5 1
1 0 63.3879 260 1
1 0 59.0521 153.302 1
1 0 73.4619 223.5 1
1 0 63.6237 219 1
1 0 65.3294 119.5 1
1 0 57.7999 228.5 1
1 0 64.1997 247 1
1 0 67.2228 281 1
1 0 71.0779 75 1
1 0 58.5399 133.5 1
1 0 62.6781 359 1
1 0 60.6803 145.5 1
1 1 58.0839 317.5 1
