"Area" "Soak" "Heat" "Sort" "Renov"
1200 1 1 0 0
1000 0 1 1 0
1000 0 1 0 0
3420 0 2 0 1
2000 0 1 1 1
2400 1 2 1 0
5000 0 1 0 1
4200 0 1 0 0
2930 0 2 0 1
5200 0 2 1 1
2942 1 1 0 0
1200 0 1 0 0
2500 0 1 1 1
2400 0 2 1 1
2000 0 2 1 1
2400 0 2 0 1
2400 0 1 1 0
1000 0 2 0 0
4400 0 1 0 1
2200 1 2 1 0
2400 1 1 1 1
1000 1 1 1 1
2500 1 1 0 0
1200 0 2 1 1
1200 0 1 1 0
1600 0 1 0 0
4000 0 2 0 1
1500 0 1 1 1
2000 0 2 0 0
3000 0 1 1 1
1500 0 2 1 0
1000 0 2 1 0
1200 0 1 0 1
1320 0 2 0 1
2000 0 2 1 1
7850 0 1 0 0
5000 1 1 1 1
2550 0 2 0 1
2500 0 1 0 0
2400 1 1 0 0
2400 0 1 0 1
2000 0 1 0 0
6800 0 1 0 1
3600 0 1 0 1
1000 0 2 1 0
2463 0 2 0 1
2500 0 1 0 1
2700 0 1 0 1
2000 0 1 1 1
3200 0 1 1 1
2600 0 1 1 1
4025 0 1 1 0
3600 0 1 0 0
3150 0 2 1 0
2400 0 2 1 0
2400 0 1 1 0
2800 0 1 1 0
5140 0 1 0 1
2000 0 2 1 0
4940 1 2 1 1
1285 0 2 0 1
1200 0 1 1 0
4000 0 2 0 0
3200 1 2 0 0
1000 1 1 0 1
1200 0 1 0 0
3700 0 1 0 0
2200 0 2 0 0
2000 0 1 0 1
6200 0 2 1 0
3200 0 2 1 0
4400 0 2 1 1
2300 0 2 0 0
2130 0 2 0 1
1500 0 2 0 0
1200 0 2 1 1
3180 0 2 1 1
4000 0 2 0 1
1668 0 1 1 1
3980 0 2 1 0
1200 0 1 1 1
2800 1 1 1 1
2400 0 2 1 1
1800 0 1 1 1
1200 0 1 1 0
2400 0 1 0 0
2800 0 2 0 1
2400 1 1 1 1
970 0 2 1 1
1000 1 1 1 0
1000 0 2 0 0
1000 0 2 0 0
1200 0 2 1 0
900 1 1 0 1
985 0 1 0 1
1000 0 1 0 0
1000 0 2 1 1
1000 0 1 0 0
1000 0 1 0 1
1200 0 2 0 1
1000 0 1 1 1
1000 0 1 0 0
1000 1 2 0 1
940 0 1 0 1
3240 0 2 0 0
900 0 1 0 1
2284 0 2 0 1
1200 0 1 1 0
900 0 1 0 1
1640 0 1 0 1
1000 0 1 0 1
1300 0 2 1 1
2200 1 1 1 0
1200 1 2 0 0
2200 0 1 1 1
1200 0 2 0 1
2700 0 1 1 1
1000 0 1 0 0
1000 0 1 0 1
1000 0 1 0 1
1200 0 1 0 1
1260 0 1 1 1
1350 0 1 0 1
954 0 2 0 1
1000 0 1 1 0
1691 0 2 1 0
924 0 1 0 1
1200 0 1 0 1
2321 0 2 1 1
1350 0 1 1 1
1200 0 1 1 0
4000 0 1 0 0
1800 0 1 0 1
6000 0 1 0 0
2200 0 1 0 0
3000 0 1 0 0
1200 1 1 1 0
3900 0 2 0 1
4875 0 1 0 1
8000 1 1 1 1
2400 0 1 0 0
2555 0 2 1 0
1011 0 2 1 0
750 0 1 0 0
1000 1 1 1 1
1200 0 1 1 0
2700 0 1 0 1
920 0 1 0 1
1200 0 1 0 0
1008 0 1 0 0
782 1 2 1 1
1293 1 1 0 1
630 0 1 0 0
1280 0 1 0 0
800 0 2 1 1
1183 0 2 0 1
2400 0 1 1 0
610 0 1 0 1
630 0 1 0 1
1100 0 2 0 1
1022 0 1 0 1
579 0 1 0 1
1100 1 1 1 1
780 0 2 0 1
588 1 1 1 1
1200 0 1 0 1
781 0 2 0 1
800 0 1 1 1
1900 0 1 1 0
1200 0 2 0 0
1200 0 2 0 0
2400 0 2 1 0
1200 0 2 0 0
1700 0 1 1 1
1600 0 2 1 0
2400 0 2 1 0
1160 1 1 0 1
1200 0 1 0 1
2200 1 1 1 1
2400 0 2 0 0
2700 1 2 0 0
2400 0 2 0 0
1000 0 1 0 0
1200 0 2 1 0
1200 1 2 1 1
5000 1 1 0 0
6000 0 2 1 0
2000 0 1 1 1
2400 0 2 0 0
1900 0 1 1 0
2400 0 2 0 0
3900 0 2 1 1
1000 0 1 0 1
1000 0 1 0 1
5400 0 1 1 0
1150 0 1 0 1
1200 0 2 1 0
1700 0 1 1 1
800 0 2 0 1
1250 0 2 1 1
3750 0 1 0 1
1250 0 2 1 1
1200 0 1 1 0
2200 1 2 0 1
1700 1 2 1 1
1200 1 2 0 0
1000 1 2 0 1
4080 0 2 1 1
2400 0 1 0 0
2500 1 1 1 1
2350 1 2 0 1
2400 0 1 0 0
2400 0 2 0 0
6400 0 2 0 1
1000 0 2 0 0
2500 0 1 1 1
2020 0 2 1 1
3200 1 1 1 0
2000 1 1 0 1
1000 0 2 0 1
1200 1 1 1 1
2000 0 2 1 0
4080 0 2 1 1
3000 1 1 0 0
3000 0 2 0 1
1750 0 2 0 1
1000 0 2 1 1
2200 0 1 1 1
1500 0 2 1 0
1200 0 1 1 1
2040 1 1 1 1
2000 0 2 1 0
2000 0 1 1 1
2200 0 2 1 0
2000 1 2 1 1
5350 1 2 1 1
1500 0 1 1 0
2500 1 1 0 1
2300 0 1 0 1
1200 0 1 0 0
5000 0 1 0 1
1000 0 1 0 1
1200 0 1 1 0
1300 0 1 0 1
2000 0 1 0 0
1000 0 1 0 0
1000 0 1 0 1
1000 1 2 0 1
2500 1 1 0 0
3900 1 2 0 0
1200 0 2 0 0
2500 0 2 0 1
1200 0 1 0 0
2200 0 1 0 0
2350 0 1 1 0
2800 0 1 1 0
1200 0 1 0 1
1200 0 1 0 0
1000 0 2 1 1
4000 0 1 1 0
2550 0 1 1 0
1200 0 1 0 1
1200 1 2 1 0
3400 1 1 1 1
2200 1 1 1 0
4200 1 2 1 1
720 0 1 1 1
2000 0 1 1 0
2800 0 1 1 0
2500 0 2 1 0
2200 0 1 1 1
4875 0 1 0 1
4890 0 1 0 0
1800 0 1 0 1
2400 0 1 0 0
1000 0 2 0 0
2100 0 1 1 0
900 0 1 0 0
1350 0 1 0 1
1200 0 1 0 0
3000 0 1 0 0
2400 0 1 0 0
1100 1 1 0 0
1200 0 2 0 0
1200 0 1 0 1
2400 0 1 1 0
600 0 1 0 0
