"Vitmin" "Freqchick" "Homochick" "NbChick"
0 2 1 28152
0 6 1 20400
0 2 1 20094
0 6 1 20910
0 2 1 20400
0 3 1 20808
0 2 1 20910
0 2 1 20910
0 3 1 32946
0 2 1 30600
0 6 1 31110
0 4 1 23700
0 3 0 24520
0 2 0 24378
0 2 0 20910
1 3 1 24378
0 3 1 26520
0 4 1 20400
0 3 1 17340
0 2 1 28050
0 4 1 28560
1 2 0 34990
0 4 1 25845
0 2 0 24480
0 2 1 26520
0 5 0 21420
0 5 1 24480
0 5 0 10710
0 3 0 25500
0 10 1 30600
0 6 1 31824
0 2 1 25500
1 2 0 26520
0 5 1 18360
0 3 1 25938
0 3 1 38760
0 4 1 24480
0 3 1 35000
0 3 1 33200
0 3 1 31620
0 3 1 29800
0 3 1 28000
0 5 0 46078
0 4 1 39270
0 4 0 25500
0 3 1 39780
0 3 1 34680
0 10 1 32640
0 3 0 22440
0 5 1 28000
0 4 1 31620
0 5 1 36000
0 6 1 10506
0 4 1 33200
0 5 1 35600
0 2 1 35200
0 3 0 30600
0 4 1 34272
0 6 1 31414
0 6 0 30600
0 4 1 35700
0 4 1 36720
0 4 1 41922
0 3 1 45900
0 3 0 30000
0 3 1 31620
0 3 1 38250
0 3 1 28560
1 4 1 35700
1 3 1 42840
0 3 1 49000
1 4 1 31260
0 2 0 36800
0 4 1 16320
0 4 1 34170
0 4 1 16830
0 3 1 38760
0 2 1 29047
1 3 0 9384
0 3 0 38760
0 3 1 36900
0 2 1 30600
0 2 0 40800
0 2 1 15300
0 2 1 35300
0 3 0 37536
0 3 1 43775
0 4 1 27540
0 4 1 21000
1 4 1 20400
0 8 1 20400
0 4 1 20400
0 5 1 26520
0 4 1 19992
0 4 0 22800
0 3 1 21316
1 2 1 23460
0 2 1 22848
1 6 1 20400
0 4 1 22600
1 3 0 18758
0 4 1 21900
0 4 1 20400
0 5 1 19992
0 4 1 21420
0 2 1 20800
1 2 1 20400
0 5 1 27540
0 3 1 20150
0 3 1 18360
0 3 1 20400
0 2 0 28050
0 4 0 26520
0 4 1 24480
0 7 0 21420
0 2 1 25398
0 2 1 27540
0 2 1 20196
0 2 1 20298
0 3 1 15300
0 4 1 25908
1 4 0 23600
0 4 1 26520
0 4 0 18800
0 2 1 23500
1 4 1 26520
0 4 1 19992
0 3 1 26520
0 3 1 28400
0 3 1 29580
0 3 1 24480
0 3 0 28000
0 5 1 15912
0 4 0 26200
0 2 1 25500
0 2 0 25500
0 2 1 27200
0 3 0 30000
0 3 1 42840
0 5 0 22400
0 2 1 25500
0 3 1 30600
0 3 1 23970
0 4 1 14790
0 4 1 21420
0 4 1 24480
0 2 1 6400
0 2 0 19890
0 2 1 27132
0 4 0 18431
0 3 0 14463
0 2 1 23919
1 2 1 11254
0 2 1 11220
0 2 1 14463
0 4 0 21879
0 3 1 20706
0 10 1 11220
0 3 1 11220
0 4 1 12393
0 4 1 18156
0 5 1 10608
0 3 1 13841
0 4 1 14464
