"V1" "V2" "V3"
"D1" 432 213
"D1" 442 199
"D1" 448 204
"D1" 448 219
"D1" 451 227
"D1" 458 229
"D1" 453 232
"D1" 459 238
"D1" 458 243
"D1" 450 236
"D1" 444 236
"D1" 441 239
"D1" 436 236
"D1" 429 244
"D1" 418 245
"D1" 415 246
"D1" 407 228
"D1" 406 222
"D1" 408 216
"D1" 415 209
"D1" 420 209
"D1" 427 209
"D2" 379 431
"D2" 375 422
"D2" 373 414
"D2" 370 406
"D2" 365 404
"D2" 360 403
"D2" 360 394
"D2" 357 386
"D2" 353 377
"D2" 344 384
"D2" 339 387
"D2" 335 398
"D2" 337 407
"D2" 339 416
"D2" 337 423
"D2" 335 434
"D2" 339 438
"D2" 350 442
"D2" 358 443
"D2" 369 443
"D2" 375 440
"D2" 380 437
"D3" 341 222
"D3" 334 228
"D3" 331 230
"D3" 323 224
"D3" 315 230
"D3" 307 237
"D3" 314 245
"D3" 320 250
"D3" 332 255
"D3" 338 261
"D3" 344 253
"D3" 353 254
"D3" 355 253
"D3" 362 258
"D3" 367 245
"D3" 376 244
"D3" 376 239
"D3" 373 229
"D3" 367 229
"D3" 368 217
"D3" 364 217
"D3" 354 223
"D4" 474 96
"D4" 485 97
"D4" 491 99
"D4" 498 104
"D4" 493 114
"D4" 491 122
"D4" 499 131
"D4" 500 136
"D4" 504 151
"D4" 496 144
"D4" 489 134
"D4" 479 138
"D4" 473 134
"D4" 472 130
"D4" 465 133
"D4" 459 126
"D4" 457 120
"D4" 448 122
"D4" 442 114
"D4" 442 105
"D4" 447 98
"D4" 454 90
"D4" 462 93
"D4" 469 91
"D5" 499 157
"D5" 504 151
"D5" 496 144
"D5" 489 134
"D5" 479 138
"D5" 473 134
"D5" 472 130
"D5" 465 133
"D5" 459 126
"D5" 457 120
"D5" 448 122
"D5" 447 125
"D5" 438 126
"D5" 439 135
"D5" 444 139
"D5" 446 145
"D5" 451 142
"D5" 452 147
"D5" 459 152
"D5" 463 155
"D5" 473 159
"D5" 471 165
"D5" 479 168
"D5" 484 172
"D5" 491 165
"D6" 523 101
"D6" 529 109
"D6" 530 119
"D6" 521 119
"D6" 509 121
"D6" 503 123
"D6" 499 131
"D6" 491 122
"D6" 493 114
"D6" 498 104
"D6" 491 99
"D6" 485 97
"D6" 488 94
"D6" 492 93
"D6" 494 88
"D6" 496 79
"D6" 495 71
"D6" 509 83
"D6" 513 90
"D7" 390 123
"D7" 381 124
"D7" 379 134
"D7" 376 144
"D7" 380 153
"D7" 388 160
"D7" 394 165
"D7" 395 177
"D7" 402 180
"D7" 407 182
"D7" 410 177
"D7" 411 165
"D7" 414 155
"D7" 410 146
"D7" 410 136
"D7" 411 129
"D7" 412 125
"D7" 399 125
"D8" 393 444
"D8" 400 452
"D8" 400 446
"D8" 404 433
"D8" 414 425
"D8" 414 419
"D8" 408 421
"D8" 407 413
"D8" 407 401
"D8" 395 400
"D8" 386 404
"D8" 377 406
"D8" 370 406
"D8" 373 414
"D8" 375 422
"D8" 379 431
"D8" 380 437
"D8" 387 439
"D9" 273 31
"D9" 275 27
"D9" 281 28
"D9" 286 26
"D9" 306 26
"D9" 301 32
"D9" 295 38
"D9" 297 50
"D9" 286 57
"D9" 283 62
"D9" 271 59
"D9" 268 50
"D9" 264 56
"D9" 260 54
"D9" 252 37
"D9" 262 38
"D10" 357 338
"D10" 365 333
"D10" 370 324
"D10" 379 324
"D10" 395 331
"D10" 402 330
"D10" 402 330
"D10" 406 337
"D10" 407 340
"D10" 400 353
"D10" 394 359
"D10" 387 360
"D10" 381 370
"D10" 374 363
"D10" 365 356
"D10" 360 359
"D10" 355 365
"D10" 350 350
"D10" 355 347
"D11" 315 38
"D11" 324 38
"D11" 335 42
"D11" 343 38
"D11" 342 46
"D11" 344 55
"D11" 352 61
"D11" 341 65
"D11" 332 68
"D11" 325 66
"D11" 320 69
"D11" 310 70
"D11" 301 70
"D11" 292 70
"D11" 283 62
"D11" 286 57
"D11" 297 50
"D11" 295 38
"D11" 301 32
"D11" 306 26
"D11" 314 29
"D12" 356 105
"D12" 355 99
"D12" 348 93
"D12" 342 96
"D12" 335 87
"D12" 325 88
"D12" 320 100
"D12" 312 111
"D12" 297 112
"D12" 295 121
"D12" 293 130
"D12" 301 135
"D12" 306 139
"D12" 317 140
"D12" 323 147
"D12" 327 159
"D12" 328 156
"D12" 333 151
"D12" 338 144
"D12" 343 135
"D12" 347 129
