"x1" "y1" "x2" "y2"
453 232 458 229
453 232 459 238
458 243 459 238
402 330 402 330
342 46 343 38
342 46 344 55
344 55 352 61
417 67 426 70
426 70 437 71
437 71 439 65
439 65 451 62
390 73 401 72
401 72 417 67
182 405 191 405
191 405 198 404
198 404 210 400
210 400 221 403
221 403 233 406
186 191 193 180
170 199 186 191
170 199 172 204
172 204 178 212
172 227 178 212
172 227 177 235
375 440 380 437
119 358 125 361
114 366 119 358
108 375 114 366
104 380 108 375
94 380 104 380
90 375 94 380
85 372 90 375
134 366 148 364
125 361 134 366
472 276 482 285
482 285 493 296
484 301 493 296
484 301 488 306
459 250 470 262
470 262 472 276
233 406 238 408
70 373 73 370
62 372 70 373
51 371 62 372
43 365 51 371
41 354 43 365
41 354 45 355
45 355 57 358
57 358 60 352
49 353 60 352
48 344 49 353
48 344 52 349
52 349 59 343
59 340 59 343
54 341 59 340
46 339 54 341
46 339 48 335
48 335 55 331
55 326 55 331
55 326 56 323
56 323 63 331
63 331 71 327
71 327 78 323
78 323 86 320
78 373 85 372
73 370 78 373
384 80 390 73
244 40 252 37
238 29 243 29
243 29 244 40
166 132 169 138
169 138 179 141
171 146 179 141
167 141 171 146
167 141 168 156
168 156 170 173
170 173 174 186
174 186 176 192
176 192 178 188
178 188 185 182
185 182 188 176
188 176 190 166
190 166 196 159
193 167 196 159
193 167 193 180
371 73 384 80
352 61 363 65
363 65 371 73
149 366 153 368
148 364 149 366
154 364 164 363
153 368 154 364
458 243 459 250
499 131 500 136
500 136 504 151
155 79 159 89
159 89 161 102
161 102 165 112
164 122 165 112
164 122 166 132
133 280 144 276
133 280 135 282
135 282 138 285
138 285 145 290
145 290 153 285
147 292 153 285
137 291 147 292
130 289 137 291
123 293 130 289
123 293 126 296
499 157 504 151
484 172 491 165
491 165 499 157
172 425 177 421
166 423 172 425
160 424 166 423
155 427 160 424
155 423 155 427
154 417 155 423
154 417 155 412
155 412 160 401
160 401 165 398
164 396 165 398
163 391 164 396
163 391 164 379
164 379 165 371
165 371 171 365
164 363 171 365
174 417 182 405
174 417 177 421
420 421 440 419
414 425 420 421
86 320 91 317
91 317 102 317
100 307 102 317
100 307 108 309
108 309 116 311
116 306 116 311
116 306 117 304
117 304 125 303
125 303 126 296
463 415 468 411
468 411 477 400
477 400 478 405
478 405 484 401
484 401 488 401
488 401 498 402
498 402 507 396
440 419 452 417
452 417 463 415
300 496 307 497
375 440 377 448
376 458 377 448
369 461 376 458
358 459 369 461
357 466 358 459
350 470 357 466
343 471 350 470
338 484 343 471
331 481 338 484
326 481 331 481
321 486 326 481
318 490 321 486
317 499 318 490
307 497 317 499
523 101 529 109
529 109 530 119
521 119 530 119
509 121 521 119
503 123 509 121
499 131 503 123
495 71 509 83
509 83 513 90
513 90 523 101
281 467 287 460
281 467 282 473
282 473 282 483
282 483 289 492
289 492 300 496
195 37 201 37
185 42 195 37
177 46 185 42
164 51 177 46
161 56 164 51
158 51 161 56
154 54 158 51
154 54 158 61
153 66 158 61
151 63 153 66
148 65 151 63
143 68 148 65
143 68 150 71
150 71 155 79
213 28 227 29
227 29 238 29
201 37 210 36
210 36 213 28
301 11 310 16
310 16 320 10
320 10 341 18
341 18 347 16
342 26 347 16
342 26 343 38
286 26 294 17
294 17 301 11
523 380 532 393
515 366 523 380
515 355 515 366
510 345 515 355
507 396 519 396
519 396 532 393
510 327 511 330
509 309 510 327
498 304 509 309
510 345 511 335
511 330 511 335
495 204 496 218
495 204 501 194
501 194 506 190
503 181 506 190
494 174 503 181
484 172 494 174
494 226 496 218
486 235 494 226
484 245 486 235
477 247 484 245
464 241 477 247
464 241 467 235
462 229 467 235
458 229 462 229
226 412 227 410
226 412 229 421
229 421 243 431
243 431 260 433
260 433 269 437
269 437 275 444
231 412 238 408
227 410 231 412
278 386 278 386
393 444 400 452
400 446 400 452
400 446 404 433
404 433 414 425
380 437 387 439
387 439 393 444
280 450 287 448
275 444 280 450
280 454 287 460
280 454 287 448
471 55 479 57
479 57 485 63
485 63 495 71
451 62 458 57
458 57 471 55
166 235 177 235
161 240 166 235
150 245 161 240
148 254 150 245
143 260 148 254
137 266 143 260
137 266 139 270
139 270 144 276
273 31 275 27
275 27 281 28
281 28 286 26
252 37 262 38
262 38 273 31
488 306 498 304
