"dep" "reg"
"Ain" "Rhone-Alpes"
"Aisne" "Picardie"
"Allier" "Auvergne"
"Alpes de Hautes Provence" "Provence-Alpes-Coted'Azur"
"Hautes Alpes" "Provence-Alpes-Coted'Azur"
"Alpes Maritimes" "Provence-Alpes-Coted'Azur"
"Ardeche" "Rhone-Alpes"
"Ardennes" "Champagne-Ardenne"
"Ariege" "Midi-Pyrenees"
"Aube" "Champagne-Ardenne"
"Aude" "Languedoc-Roussillon"
"Aveyron" "Midi-Pyrenees"
"Bouches du Rhone" "Provence-Alpes-Coted'Azur"
"Calvados" "Basse-Normandie"
"Cantal" "Auvergne"
"Charente" "Poitou-Charentes"
"Charente Maritime" "Poitou-Charentes"
"Cher" "Centre"
"Correze" "Limousin"
"Cote d'Or" "Bourgogne"
"Cotes d'Armor" "Bretagne"
"Creuse" "Limousin"
"Dordogne" "Aquitaine"
"Doubs" "Franche-Comte"
"Drome" "Rhone-Alpes"
"Eure" "Haute-Normandie"
"Eure et Loir" "Centre"
"Finistere" "Bretagne"
"Gard" "Languedoc-Roussillon"
"Haute Garonne" "Midi-Pyrenees"
"Gers" "Midi-Pyrenees"
"Gironde" "Aquitaine"
"Herault" "Languedoc-Roussillon"
"Ille et Vilaine" "Bretagne"
"Indre" "Centre"
"Indre et Loire" "Centre"
"Isere" "Rhone-Alpes"
"Jura" "Franche-Comte"
"Landes" "Aquitaine"
"Loir et Cher" "Centre"
"Loire" "Rhone-Alpes"
"Haute Loire" "Auvergne"
"Loire Atlantique" "PaysdelaLoire"
"Loiret" "Centre"
"Lot" "Midi-Pyrenees"
"Lot et Garonne" "Aquitaine"
"Lozere" "Languedoc-Roussillon"
"Maine et Loire" "PaysdelaLoire"
"Manche" "Basse-Normandie"
"Marne" "Champagne-Ardenne"
"Haute Marne" "Champagne-Ardenne"
"Mayenne" "PaysdelaLoire"
"Meurthe et Moselle" "Lorraine"
"Meuse" "Lorraine"
"Morbihan" "Bretagne"
"Moselle" "Lorraine"
"Nievre" "Bourgogne"
"Nord" "Nord-Pas-de-Calais"
"Oise" "Picardie"
"Orne" "Basse-Normandie"
"Pas de Calais" "Nord-Pas-de-Calais"
"Puy de Dome" "Auvergne"
"Pyrenees Atlantiques" "Aquitaine"
"Haute Pyrenees" "Midi-Pyrenees"
"Pyrenees Orientales" "Languedoc-Roussillon"
"Bas Rhin" "Alsace"
"Haut Rhin" "Alsace"
"Rhone" "Rhone-Alpes"
"Haute Saone" "Franche-Comte"
"Saone et Loire" "Bourgogne"
"Sarthe" "PaysdelaLoire"
"Savoie" "Rhone-Alpes"
"Haute Savoie" "Rhone-Alpes"
"Paris" "Ile-de-France"
"Seine Maritime" "Haute-Normandie"
"Seine et Marne" "Ile-de-France"
"Yvelines" "Ile-de-France"
"Deux Sevres" "Poitou-Charentes"
"Somme" "Picardie"
"Tarn" "Midi-Pyrenees"
"Tarn et Garonne" "Midi-Pyrenees"
"Var" "Provence-Alpes-Coted'Azur"
"Vaucluse" "Provence-Alpes-Coted'Azur"
"Vendee" "PaysdelaLoire"
"Vienne" "Poitou-Charentes"
"Haute Vienne" "Limousin"
"Vosges" "Lorraine"
"Yonne" "Bourgogne"
"Territoire de Belfort" "Franche-Comte"
"Essonne" "Ile-de-France"
"Hauts de Seine" "Ile-de-France"
"Seine St Denis" "Ile-de-France"
"Val de Marne" "Ile-de-France"
"Val d'Oise" "Ile-de-France"
