"ng1" "ng2"
1 37
1 38
1 68
1 70
1 72
1 73
2 8
2 50
2 58
2 59
2 76
2 79
3 18
3 22
3 41
3 57
3 62
3 70
4 5
4 6
4 13
4 25
4 82
4 83
5 25
5 37
5 72
6 82
7 25
7 29
7 37
7 41
7 42
7 47
7 83
8 50
8 54
9 11
9 30
9 65
10 20
10 50
10 51
10 76
10 88
11 30
11 33
11 65
11 80
12 15
12 29
12 33
12 45
12 47
12 80
12 81
13 29
13 82
13 83
14 26
14 49
14 60
15 19
15 42
15 45
15 47
15 62
16 17
16 23
16 78
16 85
16 86
17 23
17 32
17 78
17 84
18 22
18 35
18 40
18 44
18 57
19 22
19 23
19 45
19 62
19 86
20 38
20 51
20 57
20 69
20 70
20 88
21 28
21 34
21 55
22 35
22 62
22 86
23 32
23 45
23 46
23 86
24 38
24 69
24 89
25 37
25 83
26 27
26 59
26 60
26 75
26 77
26 94
27 40
27 44
27 60
27 71
27 77
27 90
28 55
29 33
29 47
29 83
30 31
30 64
30 80
30 81
31 39
31 46
31 63
31 64
31 81
32 39
32 46
33 80
34 43
34 48
34 49
34 52
34 55
35 36
35 40
35 85
35 86
36 40
36 48
36 71
36 85
37 41
37 68
37 72
38 69
38 70
39 46
39 63
40 44
40 71
41 42
41 62
41 68
41 70
42 47
42 62
43 48
43 55
43 84
44 57
44 76
44 88
44 90
45 46
45 81
46 81
48 52
48 71
48 78
48 84
48 85
49 52
49 60
50 51
50 54
50 76
51 54
51 69
51 87
52 60
52 71
53 54
53 56
53 66
53 87
54 87
56 66
57 70
57 88
58 61
58 79
59 75
59 76
59 79
59 92
59 94
60 71
61 79
63 64
66 67
66 87
67 69
67 87
67 89
68 70
69 87
69 89
72 73
74 91
74 92
74 93
75 79
76 88
76 90
76 92
76 93
76 94
77 90
77 91
77 94
78 84
78 85
80 81
82 83
85 86
87 89
90 91
90 93
91 92
91 93
91 94
92 93
92 94
