"Mitterand" "Chirac" "Barre" "Le.Pen" "Lajoinie" "Waechter" "Juquin" "Laguillier" "Boussel"
31.4 19.1 21.2 16.1 4.4 4.1 1.8 1.5 0.399999999999986
39.5 17.2 13.3 13.4 9 3.3 1.4 2.5 0.399999999999991
30.3 19.5 15 10.1 18.1 3 2.1 1.5 0.4
31.3 18.9 16.2 17.2 6.4 4.7 3.2 1.8 0.299999999999977
29.1 20.6 19.8 13.7 6.5 5.3 2.8 1.8 0.4
24.4 24.3 15 24.2 6.2 3 1.5 1.2 0.199999999999986
30.6 20 19 12.9 8 4.1 2.9 2 0.499999999999994
37.2 17.3 14.2 15.1 8.2 3.6 1.7 2.3 0.4
41.4 18.2 10.4 10.3 10.5 3.5 3.2 2.1 0.4
33.7 20.5 17.8 14.4 6.5 3.5 1.3 1.9 0.399999999999986
40.1 17.6 10.3 13.7 10.3 3.1 2.6 1.8 0.500000000000017
33.6 25.8 18.5 8.9 4.5 3.9 2.3 2.2 0.299999999999977
27 14.8 13.9 26.4 11.2 2.9 2.3 1.3 0.200000000000006
37.4 19.9 18.2 11.1 4.5 4.1 2 2.3 0.500000000000009
31.8 37.5 11.5 7.1 5.7 2.4 1.8 1.9 0.3
41.4 19.6 15.3 8.9 7 3.2 2 2.2 0.399999999999986
36.5 20.2 18.1 11.2 6 3.7 2 2.1 0.199999999999983
33.3 18.7 16.6 11.6 11.8 3.2 2.1 2.3 0.400000000000014
28.9 39.2 4.8 5.9 13.7 2.4 3.2 1.6 0.299999999999994
35.8 22.1 16 13.9 3.9 4.1 1.8 1.9 0.499999999999986
38.2 18.9 17.2 8.3 7.6 4.1 2.8 2.5 0.400000000000023
34.8 28.2 10 7.8 11.2 2.5 2.8 2.3 0.4
34.9 23.8 12.1 9.8 11.3 3.2 2.8 1.8 0.300000000000014
35 21.5 15.6 14.4 3.5 4.9 2.2 2.6 0.299999999999991
31.6 18.3 17.1 16.7 6.4 4.6 3 1.9 0.399999999999986
36.5 19.7 16.4 14 5.7 3.4 1.6 2.2 0.499999999999994
35.7 19.3 17.6 15.4 4.5 3.4 1.6 2 0.499999999999994
35.7 20.9 19.6 9.9 4.3 4.3 2.8 2.2 0.3
29.1 15.4 14.6 20.6 12.1 3.3 3 1.8 0.100000000000003
40.4 16.8 14.7 13.2 5.9 3.7 3 2 0.299999999999986
40.1 20.3 14.4 10.7 6 3.8 2.4 2 0.299999999999986
38.9 19.4 15.6 12.3 6.3 3 2.2 2 0.300000000000006
31.1 17.3 13.7 19.9 9 3.3 3.5 1.7 0.499999999999994
37.6 20.9 20.4 8.6 2.8 4.4 2.1 2.6 0.600000000000003
37.6 19.9 14.7 11.3 8.4 2.9 2.1 2.6 0.499999999999994
37.5 18.3 18.8 12.2 5 3.5 2 2.2 0.5
