"V1" "V2"
832852.278780026 2126600.5759698
688479.355830561 2507616.09053863
665510.138261946 2155203.45194253
912995.750545297 1908303.14243667
911433.897406513 1970311.89373048
983954.534431736 1893469.02262151
765421.342183917 1974521.21036944
766676.638455359 2515626.68390441
531866.417540806 1769020.12553513
735432.698728506 2368846.88961136
606309.984791774 1788959.10897378
627416.659497249 1919941.03444653
822518.786680332 1841822.66423638
402723.655588592 2459126.28372709
626174.211792757 2005646.90301536
433800.194147478 2082007.62563677
367871.25861011 2090070.41704704
611728.938960943 2229456.22717674
563991.1980277 2039719.57642158
783818.5853104 2272365.10233589
215389.374509055 2395160.8996434
575426.969643713 2121172.92228364
474413.293678854 2012783.54209949
905029.178112339 2248422.69280555
824264.500266794 1968147.67200734
502094.781285408 2458132.96688868
528405.557433176 2376945.35417004
125766.738019214 2381716.3443786
748026.671258284 1889741.89813703
505488.785153827 1818042.00160562
447993.543418313 1856380.41410331
369676.016654797 1984762.87163552
683371.222697307 1842508.20309208
304597.691687316 2357577.26433864
541918.644294231 2197819.64862551
475497.737519001 2252225.45115678
854236.995890556 2034425.87881863
856828.19619913 2197534.26155304
349357.363480376 1889851.2629324
531812.605048944 2291172.20428779
742381.22563468 2082384.23457881
715668.105047264 2015246.04049895
296599.068668948 2270179.55018236
600575.529451193 2323620.28111939
541891.819427106 1958418.89516794
450349.956797918 1931402.39635
692574.007688474 1946904.14389365
381070.790032773 2269736.94804901
332231.423646606 2459771.78882786
739398.848600739 2440695.13779694
815193.599669872 2349544.09282051
377185.845637699 2353983.82457038
881374.100986751 2427782.48238901
822961.476436015 2447856.45772636
215581.677444643 2329796.5586086
916382.210501602 2457503.18981738
688652.18222681 2235714.39653455
662937.648809803 2606328.6187832
606436.11225948 2490318.86465236
437195.225790883 2405054.84394424
596775.632801058 2610853.41123507
662604.872389202 2080922.99088422
348388.890554577 1810998.78471903
422845.54603608 1785543.64320413
615126.734170684 1732913.63753928
983954.924867652 2420757.86902302
969245.817413876 2329306.36921419
778930.881008999 2099300.36495237
881647.835170521 2300228.26295187
768826.162194999 2185122.4204092
442206.509239557 2334919.46591831
921015.035718268 2061398.72449933
916589.785822187 2123166.10676675
600440.027509583 2428686.17779941
505316.912996381 2518345.22322763
644034.202052822 2403285.03960935
563628.635540616 2424168.79454693
396568.749430518 2176272.95631593
595756.539910442 2551328.20748278
586275.284635028 1864878.05341482
515446.22202885 1898849.02235252
916655.409732448 1834691.21775247
828760.168218339 1892186.20848468
322858.673481411 2192233.92507581
456183.284160073 2175488.82364154
514516.691140184 2099653.30730985
900562.832408556 2363005.1969562
691913.682639896 2316341.40663895
944914.563068373 2302545.5953959
593119.025466454 2391509.82415929
593343.445463476 2427668.83877968
610391.392058694 2435499.30365667
609744.024015488 2419893.72960523
584994.639839745 2453883.73302356
