"id" "x" "y"
"baltra" 197.2 150.7
"baltra" 199 150.1
"baltra" 201.4 145.3
"baltra" 201.4 141.1
"baltra" 196.6 141.1
"baltra" 196 142.9
"baltra" 198.4 147.7
"baltra" 196.6 150.1
"da1" 184.5 147.7
"da1" 186.9 146.5
"da1" 187.5 148.3
"da1" 187.5 150.1
"da1" 183.9 148.3
"daphne" 182.1 142.9
"daphne" 182.7 146.5
"daphne" 186.3 145.9
"daphne" 185.7 143.5
"daphne" 183.3 142.3
"espagnola" 248 40.1
"espagnola" 252.2 41.9
"espagnola" 256.5 39.5
"espagnola" 258.3 40.7
"espagnola" 260.7 38.3
"espagnola" 259.4 35.9
"espagnola" 260.7 33.5
"espagnola" 259.4 32.9
"espagnola" 256.5 34.7
"espagnola" 252.2 34.7
"espagnola" 251 37.1
"espagnola" 249.2 37.1
"espagnola" 249.2 39.5
"espagnola" 249.2 39.5
"ferdinanda" 50.9 158
"ferdinanda" 60.6 158.6
"ferdinanda" 63.6 161.1
"ferdinanda" 68.4 161.1
"ferdinanda" 73.9 156.8
"ferdinanda" 76.9 151.4
"ferdinanda" 76.9 148.3
"ferdinanda" 75.7 145.3
"ferdinanda" 75.7 142.9
"ferdinanda" 72 137.5
"ferdinanda" 66.6 137.5
"ferdinanda" 62.4 136.3
"ferdinanda" 58.1 138.1
"ferdinanda" 54.5 138.1
"ferdinanda" 52.1 142.3
"ferdinanda" 48.5 145.9
"ferdinanda" 48.5 145.9
"ferdinanda" 47.9 152
"flore" 169.4 57.1
"flore" 173 55.8
"flore" 176 57.1
"flore" 181.5 51
"flore" 179.7 48.6
"flore" 177.3 46.8
"flore" 177.3 43.2
"flore" 174.2 42.5
"flore" 171.8 42.5
"flore" 165.2 45.6
"flore" 167.6 51
"flore" 168.2 55.8
"flore" 169.4 57.1
"flore1" 180.2 57.1
"flore1" 181.5 57.6
"flore1" 182.7 56.5
"flore1" 180.9 55.2
"flore2" 183.3 55.2
"flore2" 185.7 54
"flore2" 185.7 52.2
"flore2" 182.7 52.2
"flore3" 184.5 48
"flore3" 182.7 46.1
"flore3" 181 48.6
"flore3" 183.3 49.8
"flore4" 185.7 45.6
"flore4" 187.5 46.1
"flore4" 188.1 44.3
"flore4" 186.3 43.2
"genovesa" 239.5 231.2
"genovesa" 235.3 227.5
"genovesa" 240.1 226.3
"genovesa" 242.5 228.1
"isabela" 57.6 195.5
"isabela" 68.4 201.6
"isabela" 70.2 204
"isabela" 72 203.4
"isabela" 73.9 206.4
"isabela" 76.9 204.5
"isabela" 85.3 208.2
"isabela" 87.1 207.6
"isabela" 87.1 204.5
"isabela" 93.2 202.7
"isabela" 92.6 197.9
"isabela" 98.6 193
"isabela" 99.3 185.8
"isabela" 99.3 174.9
"isabela" 101.7 165.3
"isabela" 105.9 161.6
"isabela" 107.1 156.2
"isabela" 126.5 144.1
"isabela" 125.3 141.7
"isabela" 125.3 132
"isabela" 121.1 130.2
"isabela" 119.8 126.6
"isabela" 122.9 128.4
"isabela" 124 124.2
"isabela" 126.5 122.4
"isabela" 129.5 124.2
"isabela" 133.7 115.7
"isabela" 132.5 113.9
"isabela" 136.1 110.9
"isabela" 141.6 110.9
"isabela" 141 107.2
"isabela" 143.4 107.2
"isabela" 140.4 103
"isabela" 136.1 103
"isabela" 133.7 98.1
"isabela" 131.3 97
"isabela" 131.3 93.3
"isabela" 126.5 93.3
"isabela" 124.7 87.9
"isabela" 121.1 87.9
"isabela" 117.4 90.3
"isabela" 109.6 86.6
"isabela" 108.9 84.8
"isabela" 104.7 85.5
"isabela" 95.7 80.6
"isabela" 95.7 76.4
"isabela" 90.2 78.2
"isabela" 78.7 81.9
"isabela" 70.2 81.2
"isabela" 65.4 84.3
"isabela" 63.6 87.9
"isabela" 59.9 97.6
"isabela" 63.6 103
"isabela" 69 106.6
"isabela" 72 109.6
"isabela" 77.5 109.6
"isabela" 80.5 110.2
"isabela" 82.4 114.5
"isabela" 89.6 115.1
"isabela" 90.8 117.5
"isabela" 96.2 114.5
"isabela" 99.9 119.3
"isabela" 104.1 121.7
"isabela" 108.3 124.2
"isabela" 103.5 130.2
"isabela" 96.8 133.2
"isabela" 92.6 136.8
"isabela" 92.6 145.3
"isabela" 89 150.7
"isabela" 84.2 155
"isabela" 81.1 159.8
"isabela" 79.9 161.1
"isabela" 76.9 161.6
"isabela" 76.9 165.3
"isabela" 78.7 169.5
"isabela" 75.1 174.9
"isabela" 76.3 183.4
"isabela" 76.9 187
"isabela" 76.3 190.1
"isabela" 72 191.2
"isabela" 67.8 191.2
"isabela" 63.6 188.3
"isabela" 59.9 186.4
"isabela" 56.3 192.5
"marchena" 179.1 234.2
"marchena" 173.6 230.6
"marchena" 173.6 226.3
"marchena" 177.3 224.5
"marchena" 179.1 222.7
"marchena" 183.3 222.7
"marchena" 183.9 225.1
"marchena" 185.7 224.5
"marchena" 188.1 227.5
"marchena" 185.1 233
"pinta" 152.5 260.7
"pinta" 150.1 254.7
"pinta" 150.1 251.1
"pinta" 152.5 248.1
"pinta" 156.7 252.3
"pinta" 153.7 256
"pinzon" 150.6 125.3
"pinzon" 151.2 129
"pinzon" 156.1 125.3
"pinzon" 154.9 121.1
"pinzon" 153 120.5
"pinzon" 152.5 122.4
"pinzon" 150.1 124.8
"rabida" 147 144.1
"rabida" 147 147.1
"rabida" 148.8 150.1
"rabida" 151.9 148.9
"rabida" 151.9 146.5
"rabida" 148.8 144.7
"rabida" 147 144.1
"roca" 56.3 225.7
"roca" 57.6 226.3
"roca" 59.4 224.5
"roca" 57.6 222.1
"roca" 55.2 223.9
"roca" 55.7 225.1
"sancristo" 307.2 111.4
"sancristo" 304.8 113.9
"sancristo" 299.4 115.1
"sancristo" 294.5 115.1
"sancristo" 292.1 112.7
