"id" "sex" "population" "region"
"1" "1" "Brahui" "Asia"
"3" "1" "Brahui" "Asia"
"5" "1" "Brahui" "Asia"
"7" "1" "Brahui" "Asia"
"9" "1" "Brahui" "Asia"
"11" "1" "Brahui" "Asia"
"13" "1" "Brahui" "Asia"
"15" "1" "Brahui" "Asia"
"17" "1" "Brahui" "Asia"
"19" "1" "Brahui" "Asia"
"21" "1" "Brahui" "Asia"
"23" "1" "Brahui" "Asia"
"25" "1" "Brahui" "Asia"
"27" "1" "Brahui" "Asia"
"29" "1" "Brahui" "Asia"
"31" "1" "Brahui" "Asia"
"33" "1" "Brahui" "Asia"
"35" "1" "Brahui" "Asia"
"37" "1" "Brahui" "Asia"
"39" "1" "Brahui" "Asia"
"41" "1" "Brahui" "Asia"
"43" "1" "Brahui" "Asia"
"45" "1" "Brahui" "Asia"
"47" "1" "Brahui" "Asia"
"49" "1" "Brahui" "Asia"
"52" "1" "Balochi" "Asia"
"54" "1" "Balochi" "Asia"
"56" "1" "Balochi" "Asia"
"57" "1" "Balochi" "Asia"
"58" "1" "Balochi" "Asia"
"60" "1" "Balochi" "Asia"
"62" "1" "Balochi" "Asia"
"64" "1" "Balochi" "Asia"
"66" "1" "Balochi" "Asia"
"68" "1" "Balochi" "Asia"
"70" "1" "Balochi" "Asia"
"72" "1" "Balochi" "Asia"
"74" "1" "Balochi" "Asia"
"76" "1" "Balochi" "Asia"
"78" "1" "Balochi" "Asia"
"80" "1" "Balochi" "Asia"
"82" "1" "Balochi" "Asia"
"84" "1" "Balochi" "Asia"
"86" "1" "Balochi" "Asia"
"88" "1" "Balochi" "Asia"
"90" "1" "Balochi" "Asia"
"92" "1" "Balochi" "Asia"
"94" "1" "Balochi" "Asia"
"96" "1" "Balochi" "Asia"
"98" "1" "Balochi" "Asia"
"99" "1" "Balochi" "Asia"
"100" "1" "Hazara" "Asia"
"102" "1" "Hazara" "Asia"
"103" "1" "Hazara" "Asia"
"104" "1" "Hazara" "Asia"
"105" "1" "Hazara" "Asia"
"106" "1" "Hazara" "Asia"
"108" "1" "Hazara" "Asia"
"109" "1" "Hazara" "Asia"
"110" "1" "Hazara" "Asia"
"111" "1" "Hazara" "Asia"
"112" "1" "Hazara" "Asia"
"113" "1" "Hazara" "Asia"
"115" "1" "Hazara" "Asia"
"116" "1" "Hazara" "Asia"
"118" "1" "Hazara" "Asia"
"119" "1" "Hazara" "Asia"
"120" "1" "Hazara" "Asia"
"121" "1" "Hazara" "Asia"
"122" "1" "Hazara" "Asia"
"124" "1" "Hazara" "Asia"
"125" "1" "Hazara" "Asia"
"127" "1" "Hazara" "Asia"
"128" "1" "Makrani" "Asia"
"129" "1" "Makrani" "Asia"
"130" "1" "Makrani" "Asia"
"131" "1" "Makrani" "Asia"
"133" "1" "Makrani" "Asia"
"134" "1" "Makrani" "Asia"
"135" "1" "Makrani" "Asia"
"136" "1" "Makrani" "Asia"
"137" "1" "Makrani" "Asia"
"139" "1" "Makrani" "Asia"
"140" "1" "Makrani" "Asia"
"141" "1" "Makrani" "Asia"
"143" "1" "Makrani" "Asia"
"144" "1" "Makrani" "Asia"
"145" "1" "Makrani" "Asia"
"146" "1" "Makrani" "Asia"
"148" "1" "Makrani" "Asia"
"149" "1" "Makrani" "Asia"
"150" "1" "Makrani" "Asia"
"151" "2" "Makrani" "Asia"
"153" "2" "Makrani" "Asia"
"154" "2" "Makrani" "Asia"
"155" "2" "Makrani" "Asia"
"157" "2" "Makrani" "Asia"
"158" "1" "Makrani" "Asia"
"160" "1" "Makrani" "Asia"
"161" "1" "Makrani" "Asia"
"163" "1" "Sindhi" "Asia"
"165" "1" "Sindhi" "Asia"
"167" "1" "Sindhi" "Asia"
"169" "1" "Sindhi" "Asia"
"171" "1" "Sindhi" "Asia"
"173" "1" "Sindhi" "Asia"
"175" "1" "Sindhi" "Asia"
"177" "1" "Sindhi" "Asia"
"179" "1" "Sindhi" "Asia"
"181" "1" "Sindhi" "Asia"
"183" "1" "Sindhi" "Asia"
"185" "1" "Sindhi" "Asia"
"187" "1" "Sindhi" "Asia"
"189" "1" "Sindhi" "Asia"
"191" "1" "Sindhi" "Asia"
"192" "2" "Sindhi" "Asia"
"195" "2" "Sindhi" "Asia"
"197" "1" "Sindhi" "Asia"
"199" "1" "Sindhi" "Asia"
"201" "1" "Sindhi" "Asia"
"203" "1" "Sindhi" "Asia"
"205" "1" "Sindhi" "Asia"
"206" "2" "Sindhi" "Asia"
"208" "1" "Sindhi" "Asia"
"210" "2" "Sindhi" "Asia"
"213" "1" "Pathan" "Asia"
"214" "1" "Pathan" "Asia"
"216" "1" "Pathan" "Asia"
"218" "1" "Pathan" "Asia"
"220" "1" "Pathan" "Asia"
"222" "1" "Pathan" "Asia"
"224" "1" "Pathan" "Asia"
"226" "1" "Pathan" "Asia"
"228" "1" "Pathan" "Asia"
"230" "1" "Pathan" "Asia"
"232" "2" "Pathan" "Asia"
"234" "1" "Pathan" "Asia"
"237" "2" "Pathan" "Asia"
"239" "2" "Pathan" "Asia"
"241" "1" "Pathan" "Asia"
"243" "1" "Pathan" "Asia"
"244" "2" "Pathan" "Asia"
"247" "2" "Pathan" "Asia"
"248" "1" "Pathan" "Asia"
"251" "1" "Pathan" "Asia"
"254" "1" "Pathan" "Asia"
"258" "1" "Pathan" "Asia"
"259" "1" "Pathan" "Asia"
"262" "1" "Pathan" "Asia"
"264" "1" "Pathan" "Asia"
"267" "1" "Kalash" "Asia"
"274" "2" "Kalash" "Asia"
"277" "1" "Kalash" "Asia"
"279" "1" "Kalash" "Asia"
"281" "1" "Kalash" "Asia"
"285" "1" "Kalash" "Asia"
"286" "2" "Kalash" "Asia"
"288" "1" "Kalash" "Asia"
"290" "1" "Kalash" "Asia"
"292" "1" "Kalash" "Asia"
"298" "2" "Kalash" "Asia"
"302" "1" "Kalash" "Asia"
"304" "2" "Kalash" "Asia"
"307" "1" "Kalash" "Asia"
"309" "1" "Kalash" "Asia"
"311" "1" "Kalash" "Asia"
"313" "1" "Kalash" "Asia"
"315" "1" "Kalash" "Asia"
"319" "1" "Kalash" "Asia"
"321" "1" "Kalash" "Asia"
"323" "2" "Kalash" "Asia"
"326" "1" "Kalash" "Asia"
"328" "1" "Kalash" "Asia"
"330" "1" "Kalash" "Asia"
"333" "1" "Kalash" "Asia"
"336" "2" "Burusho" "Asia"
"338" "2" "Burusho" "Asia"
"341" "1" "Burusho" "Asia"
"346" "1" "Burusho" "Asia"
"351" "1" "Burusho" "Asia"
"356" "2" "Burusho" "Asia"
"359" "1" "Burusho" "Asia"
"364" "1" "Burusho" "Asia"
"371" "2" "Burusho" "Asia"
"372" "1" "Burusho" "Asia"
"376" "1" "Burusho" "Asia"
"382" "1" "Burusho" "Asia"
"388" "1" "Burusho" "Asia"
"392" "1" "Burusho" "Asia"
"397" "1" "Burusho" "Asia"
"402" "1" "Burusho" "Asia"
"407" "1" "Burusho" "Asia"
"412" "1" "Burusho" "Asia"
"417" "1" "Burusho" "Asia"
"423" "1" "Burusho" "Asia"
"428" "1" "Burusho" "Asia"
"433" "1" "Burusho" "Asia"
"438" "1" "Burusho" "Asia"
"444" "2" "Burusho" "Asia"
"445" "1" "Burusho" "Asia"
"448" "1" "Biaka Pygmies" "Subsaharan Africa"
"449" "1" "Mbuti Pygmies" "Subsaharan Africa"
"450" "1" "Mbuti Pygmies" "Subsaharan Africa"
"451" "1" "Biaka Pygmies" "Subsaharan Africa"
"452" "1" "Biaka Pygmies" "Subsaharan Africa"
"453" "1" "Biaka Pygmies" "Subsaharan Africa"
"454" "1" "Biaka Pygmies" "Subsaharan Africa"
"455" "1" "Biaka Pygmies" "Subsaharan Africa"
"456" "1" "Mbuti Pygmies" "Subsaharan Africa"
"457" "1" "Biaka Pygmies" "Subsaharan Africa"
"458" "1" "Biaka Pygmies" "Subsaharan Africa"
"459" "1" "Biaka Pygmies" "Subsaharan Africa"
"460" "1" "Biaka Pygmies" "Subsaharan Africa"
"461" "1" "Biaka Pygmies" "Subsaharan Africa"
"462" "1" "Mbuti Pygmies" "Subsaharan Africa"
"463" "1" "Mbuti Pygmies" "Subsaharan Africa"
"464" "1" "Biaka Pygmies" "Subsaharan Africa"
"465" "1" "Biaka Pygmies" "Subsaharan Africa"
"466" "1" "Biaka Pygmies" "Subsaharan Africa"
"467" "1" "Mbuti Pygmies" "Subsaharan Africa"
"468" "1" "Mbuti Pygmies" "Subsaharan Africa"
"469" "1" "Biaka Pygmies" "Subsaharan Africa"
"470" "1" "Biaka Pygmies" "Subsaharan Africa"
"471" "1" "Mbuti Pygmies" "Subsaharan Africa"
"472" "1" "Biaka Pygmies" "Subsaharan Africa"
"473" "1" "Biaka Pygmies" "Subsaharan Africa"
"474" "1" "Mbuti Pygmies" "Subsaharan Africa"
"475" "1" "Biaka Pygmies" "Subsaharan Africa"
"476" "1" "Mbuti Pygmies" "Subsaharan Africa"
"477" "1" "Biaka Pygmies" "Subsaharan Africa"
"478" "1" "Mbuti Pygmies" "Subsaharan Africa"
"479" "1" "Biaka Pygmies" "Subsaharan Africa"
"490" "1" "Melanesian" "Oceania"
"491" "1" "Melanesian" "Oceania"
"511" "1" "French" "Europe"
"512" "1" "French" "Europe"
"513" "2" "French" "Europe"
"514" "2" "French" "Europe"
"515" "1" "French" "Europe"
"516" "2" "French" "Europe"
"517" "2" "French" "Europe"
"518" "1" "French" "Europe"
"519" "1" "French" "Europe"
"520" "2" "French" "Europe"
"521" "1" "French" "Europe"
"522" "1" "French" "Europe"
"523" "2" "French" "Europe"
"524" "2" "French" "Europe"
"525" "1" "French" "Europe"
"526" "2" "French" "Europe"
"527" "2" "French" "Europe"
"528" "1" "French" "Europe"
"529" "2" "French" "Europe"
"530" "1" "French" "Europe"
"531" "2" "French" "Europe"
"532" "2" "French" "Europe"
"533" "1" "French" "Europe"
"534" "2" "French" "Europe"
"535" "2" "French" "Europe"
"536" "2" "French" "Europe"
"537" "2" "French" "Europe"
"538" "1" "French" "Europe"
"539" "2" "French" "Europe"
"540" "1" "New Guinea" "Oceania"
"541" "1" "New Guinea" "Oceania"
"542" "1" "New Guinea" "Oceania"
"543" "1" "New Guinea" "Oceania"
"544" "2" "New Guinea" "Oceania"
"545" "1" "New Guinea" "Oceania"
"546" "1" "New Guinea" "Oceania"
"547" "1" "New Guinea" "Oceania"
"548" "1" "New Guinea" "Oceania"
"549" "1" "New Guinea" "Oceania"
"550" "1" "New Guinea" "Oceania"
"551" "1" "New Guinea" "Oceania"
"552" "2" "New Guinea" "Oceania"
"553" "1" "New Guinea" "Oceania"
"554" "2" "New Guinea" "Oceania"
"555" "1" "New Guinea" "Oceania"
"556" "1" "New Guinea" "Oceania"
"557" "2" "Druze" "Middle East"
"558" "2" "Druze" "Middle East"
"559" "2" "Druze" "Middle East"
"560" "2" "Druze" "Middle East"
"561" "2" "Druze" "Middle East"
"562" "1" "Druze" "Middle East"
"563" "2" "Druze" "Middle East"
"564" "2" "Druze" "Middle East"
"565" "2" "Druze" "Middle East"
"566" "2" "Druze" "Middle East"
"567" "2" "Druze" "Middle East"
"568" "2" "Druze" "Middle East"
"569" "2" "Druze" "Middle East"
"570" "2" "Druze" "Middle East"
"571" "2" "Druze" "Middle East"
"572" "2" "Druze" "Middle East"
"573" "2" "Druze" "Middle East"
"574" "2" "Druze" "Middle East"
"575" "2" "Druze" "Middle East"
"576" "1" "Druze" "Middle East"
"577" "2" "Druze" "Middle East"
"578" "2" "Druze" "Middle East"
"579" "2" "Druze" "Middle East"
"580" "1" "Druze" "Middle East"
"581" "2" "Druze" "Middle East"
"582" "2" "Druze" "Middle East"
"583" "2" "Druze" "Middle East"
"584" "2" "Druze" "Middle East"
"585" "2" "Druze" "Middle East"
"586" "2" "Druze" "Middle East"
"587" "2" "Druze" "Middle East"
"588" "1" "Druze" "Middle East"
"589" "2" "Druze" "Middle East"
"590" "2" "Druze" "Middle East"
"591" "2" "Druze" "Middle East"
"592" "2" "Druze" "Middle East"
"594" "1" "Druze" "Middle East"
"595" "1" "Druze" "Middle East"
"597" "1" "Druze" "Middle East"
"598" "1" "Druze" "Middle East"
"599" "1" "Druze" "Middle East"
"600" "1" "Druze" "Middle East"
"601" "1" "Druze" "Middle East"
"602" "1" "Druze" "Middle East"
"603" "1" "Druze" "Middle East"
"604" "1" "Druze" "Middle East"
"605" "1" "Druze" "Middle East"
"606" "1" "Druze" "Middle East"
"607" "2" "Bedouin" "Middle East"
"608" "1" "Bedouin" "Middle East"
"609" "1" "Bedouin" "Middle East"
"610" "1" "Bedouin" "Middle East"
"611" "1" "Bedouin" "Middle East"
"612" "2" "Bedouin" "Middle East"
"613" "2" "Bedouin" "Middle East"
"614" "2" "Bedouin" "Middle East"
"615" "2" "Bedouin" "Middle East"
"616" "1" "Bedouin" "Middle East"
"617" "1" "Bedouin" "Middle East"
"618" "1" "Bedouin" "Middle East"
"619" "1" "Bedouin" "Middle East"
"620" "1" "Bedouin" "Middle East"
"621" "1" "Bedouin" "Middle East"
"622" "1" "Bedouin" "Middle East"
"623" "1" "Bedouin" "Middle East"
"624" "1" "Bedouin" "Middle East"
"625" "1" "Bedouin" "Middle East"
"626" "1" "Bedouin" "Middle East"
"627" "1" "Bedouin" "Middle East"
"628" "1" "Bedouin" "Middle East"
"629" "1" "Bedouin" "Middle East"
"630" "1" "Bedouin" "Middle East"
"631" "1" "Bedouin" "Middle East"
"632" "2" "Bedouin" "Middle East"
"633" "2" "Bedouin" "Middle East"
"634" "2" "Bedouin" "Middle East"
"635" "2" "Bedouin" "Middle East"
"636" "2" "Bedouin" "Middle East"
"637" "2" "Bedouin" "Middle East"
"638" "2" "Bedouin" "Middle East"
"639" "1" "Bedouin" "Middle East"
"640" "1" "Bedouin" "Middle East"
"641" "1" "Bedouin" "Middle East"
"642" "1" "Bedouin" "Middle East"
"643" "2" "Bedouin" "Middle East"
"644" "1" "Bedouin" "Middle East"
"645" "1" "Bedouin" "Middle East"
"646" "2" "Bedouin" "Middle East"
"647" "2" "Bedouin" "Middle East"
"648" "1" "Bedouin" "Middle East"
"649" "2" "Bedouin" "Middle East"
"650" "1" "Bedouin" "Middle East"
"651" "2" "Bedouin" "Middle East"
"652" "2" "Bedouin" "Middle East"
"653" "2" "Bedouin" "Middle East"
"654" "1" "Bedouin" "Middle East"
"655" "1" "Melanesian" "Oceania"
"656" "2" "Melanesian" "Oceania"
"657" "2" "Melanesian" "Oceania"
"658" "2" "Melanesian" "Oceania"
"659" "2" "Melanesian" "Oceania"
"660" "2" "Melanesian" "Oceania"
"661" "2" "Melanesian" "Oceania"
"662" "1" "Melanesian" "Oceania"
"663" "2" "Melanesian" "Oceania"
"664" "2" "Melanesian" "Oceania"
"665" "1" "Sardinian" "Europe"
"666" "1" "Sardinian" "Europe"
"667" "2" "Sardinian" "Europe"
"668" "1" "Sardinian" "Europe"
"669" "2" "Sardinian" "Europe"
"670" "1" "Sardinian" "Europe"
"671" "1" "Sardinian" "Europe"
"672" "2" "Sardinian" "Europe"
"673" "2" "Sardinian" "Europe"
"674" "1" "Sardinian" "Europe"
"675" "1" "Palestinian" "Middle East"
"676" "1" "Palestinian" "Middle East"
"677" "1" "Palestinian" "Middle East"
"678" "1" "Palestinian" "Middle East"
"679" "2" "Palestinian" "Middle East"
"680" "2" "Palestinian" "Middle East"
"681" "2" "Palestinian" "Middle East"
"682" "2" "Palestinian" "Middle East"
"683" "2" "Palestinian" "Middle East"
"684" "2" "Palestinian" "Middle East"
"685" "2" "Palestinian" "Middle East"
"686" "2" "Palestinian" "Middle East"
"687" "2" "Palestinian" "Middle East"
"688" "2" "Palestinian" "Middle East"
"689" "2" "Palestinian" "Middle East"
"690" "2" "Palestinian" "Middle East"
"691" "2" "Palestinian" "Middle East"
"692" "2" "Palestinian" "Middle East"
"693" "2" "Palestinian" "Middle East"
"694" "2" "Palestinian" "Middle East"
"695" "2" "Palestinian" "Middle East"
"696" "2" "Palestinian" "Middle East"
"697" "2" "Palestinian" "Middle East"
"698" "2" "Palestinian" "Middle East"
"699" "2" "Palestinian" "Middle East"
"700" "2" "Palestinian" "Middle East"
"701" "2" "Bedouin" "Middle East"
"702" "2" "Columbian" "America"
"703" "1" "Columbian" "America"
"704" "2" "Columbian" "America"
"705" "1" "Columbian" "America"
"706" "2" "Columbian" "America"
"707" "1" "Columbian" "America"
"708" "2" "Columbian" "America"
"709" "1" "Columbian" "America"
"710" "1" "Columbian" "America"
"711" "1" "Cambodian" "Asia"
"712" "2" "Cambodian" "Asia"
"713" "2" "Cambodian" "Asia"
"714" "1" "Cambodian" "Asia"
"715" "1" "Cambodian" "Asia"
"716" "1" "Cambodian" "Asia"
"717" "1" "Cambodian" "Asia"
"718" "2" "Cambodian" "Asia"
"719" "2" "Cambodian" "Asia"
"720" "1" "Cambodian" "Asia"
"721" "2" "Cambodian" "Asia"
"722" "1" "Palestinian" "Middle East"
"723" "1" "Palestinian" "Middle East"
"724" "1" "Palestinian" "Middle East"
"725" "1" "Palestinian" "Middle East"
"726" "1" "Palestinian" "Middle East"
"727" "1" "Palestinian" "Middle East"
"728" "1" "Palestinian" "Middle East"
"729" "1" "Palestinian" "Middle East"
"730" "1" "Palestinian" "Middle East"
"731" "1" "Palestinian" "Middle East"
"732" "1" "Palestinian" "Middle East"
"733" "1" "Palestinian" "Middle East"
"734" "1" "Palestinian" "Middle East"
"735" "2" "Palestinian" "Middle East"
"736" "2" "Palestinian" "Middle East"
"737" "2" "Palestinian" "Middle East"
"738" "2" "Palestinian" "Middle East"
"739" "2" "Palestinian" "Middle East"
"740" "2" "Palestinian" "Middle East"
"741" "2" "Palestinian" "Middle East"
"742" "2" "Palestinian" "Middle East"
"743" "2" "Palestinian" "Middle East"
"744" "2" "Palestinian" "Middle East"
"745" "2" "Palestinian" "Middle East"
"746" "2" "Palestinian" "Middle East"
"747" "1" "Japanese" "Asia"
"748" "1" "Japanese" "Asia"
"749" "1" "Japanese" "Asia"
"750" "1" "Japanese" "Asia"
"751" "1" "Japanese" "Asia"
"752" "1" "Japanese" "Asia"
"753" "1" "Japanese" "Asia"
"754" "2" "Japanese" "Asia"
"755" "1" "Japanese" "Asia"
"756" "2" "Japanese" "Asia"
"757" "1" "Japanese" "Asia"
"758" "1" "Japanese" "Asia"
"759" "1" "Japanese" "Asia"
"760" "2" "Japanese" "Asia"
"761" "2" "Japanese" "Asia"
"762" "1" "Japanese" "Asia"
"763" "1" "Japanese" "Asia"
"764" "1" "Japanese" "Asia"
"765" "1" "Japanese" "Asia"
"766" "1" "Japanese" "Asia"
"767" "1" "Japanese" "Asia"
"768" "1" "Japanese" "Asia"
"769" "1" "Japanese" "Asia"
"770" "1" "Japanese" "Asia"
"771" "2" "Japanese" "Asia"
"772" "2" "Japanese" "Asia"
"773" "1" "Japanese" "Asia"
"774" "1" "Han" "Asia"
"775" "1" "Han" "Asia"
"776" "2" "Han" "Asia"
"777" "1" "Han" "Asia"
"778" "1" "Han" "Asia"
"779" "1" "Han" "Asia"
"780" "1" "Han" "Asia"
"781" "2" "Han" "Asia"
"782" "1" "Han" "Asia"
"783" "2" "Han" "Asia"
"784" "2" "Han" "Asia"
"785" "1" "Han" "Asia"
"786" "1" "Han" "Asia"
"787" "2" "Melanesian" "Oceania"
"788" "1" "Melanesian" "Oceania"
"789" "1" "Melanesian" "Oceania"
"790" "1" "Japanese" "Asia"
"791" "1" "Japanese" "Asia"
"792" "1" "Columbian" "America"
"793" "2" "Columbian" "America"
"794" "2" "Orcadian" "Europe"
"795" "1" "Orcadian" "Europe"
