"marknames" "allbyloc" "chromosome" "maposition"
"280we5" 13 "1" 4
"ggaa3a07z" 12 "1" 16.2
"GATA27E01" 9 "1" 29.9
"GATA29A05" 12 "1" 37.1
"ATA47D07" 9 "1" 46.6
"ATA79C10" 12 "1" 62.7
"GATA129H04" 17 "1" 72.6
"GATA72H07" 14 "1" 75.7
"GATA26G09" 8 "1" 89.5
"GATA61A06" 19 "1" 102.02
"GATA109" 9 "1" 109
"GATA6A05" 10 "1" 113.7
"GATA124C08" 9 "1" 129.4
"GATA133A08" 12 "1" 137.6
"ATA25E07" 7 "1" 139
"ATA42G12" 10 "1" 139
"GATA12A07" 18 "1" 151.9
"GATA43A04" 11 "1" 164.1
"GGAA5F09" 20 "1" 170.8
"GGAA22G10" 11 "1" 175.6
"ATA4E02" 11 "1" 192.1
"GATA7C01" 11 "1" 202.2
"GATA48B01" 9 "1" 212.4
"GATA124F08" 8 "1" 226
"GATA4H09" 11 "1" 239.7
"ATA29C07" 11 "1" 247.2
"203yg9" 19 "1" 254.6
"GATA22D12" 10 "1" 265.5
"GATA50F11" 15 "1" 274.5
"272XC9" 13 "1" 288
"SRA" 8 "2" 0
"GATA72G11" 13 "2" 10
"GATA116B01" 17 "2" 17.9
"GGAA20G10" 15 "2" 27.6
"GATA11H10" 15 "2" 38.3
"GATA8F07" 8 "2" 48
"GATA86E02" 15 "2" 55.5
"ATA4F03" 10 "2" 64.3
"ATA27D04" 10 "2" 73.6
"GATA8F03" 15 "2" 87
"GATA69E12" 9 "2" 90.8
"GATA88G05" 18 "2" 103
"GATA176C01" 14 "2" 114.4
"GATA4E11" 16 "2" 125.2
"GATA27A12" 9 "2" 132.6
"GATA4D07" 20 "2" 145.1
"GGAA20G04" 12 "2" 152
"ATA27H09" 11 "2" 164.5
"GATA71D01" 10 "2" 173
"GATA65C03" 14 "2" 186.2
"GATA52A04" 15 "2" 200.4
"GATA30E06" 9 "2" 210.4
"GATA4G12" 10 "2" 215.8
"GATA23D03" 10 "2" 227
"GATA12H10" 10 "2" 236.7
"GATA178G09" 11 "2" 251.9
"2QTEL47" 12 "2" 264.5
"GATA22G12" 27 "3" 5.5
"296ZF5" 18 "3" 10.7
"217XD6" 18 "3" 19
"GATA164B08" 28 "3" 26
"GGAA4B09" 20 "3" 37
"GATA73D01" 14 "3" 44.8
"GATA27C08" 13 "3" 58
"GATA8B05" 10 "3" 62
"ATA10H11" 10 "3" 71
"GATA6F06" 10 "3" 78.6
"318YF1" 9 "3" 91.2
"GATA7F05" 9 "3" 104
"GATA128C02" 6 "3" 112
"GATA84B12" 11 "3" 124.2
"GATA68F07" 9 "3" 135
"ATA34G06" 11 "3" 138
"GATA4A10" 14 "3" 152.6
"GATA3C02" 11 "3" 161
"GATA8F01" 27 "3" 170
"GATA3H01" 10 "3" 176.5
"GATA22F11" 29 "3" 188
"059xa9" 14 "3" 201.1
"GATA6G12" 9 "3" 209.4
"ATA22E01" 12 "3" 216
"254ve1" 16 "3" 224.9
"4PTEL04" 11 "4" 0
"GATA22G05" 8 "4" 12.9
"157xg3" 13 "4" 25.9
"GATA70E01" 17 "4" 35
"ATA27C07" 9 "4" 43
"GATA72G09" 21 "4" 51
"GATA7D01" 8 "4" 60.2
"GATA28F03" 10 "4" 72.5
"GATA24H01" 10 "4" 78
"GATA10G07" 11 "4" 88
"ATA2A03" 16 "4" 93.5
"GATA2F11" 10 "4" 104.9
"GATA62A12" 13 "4" 114
"ATA26B08" 11 "4" 130
"GATA11E09" 13 "4" 143.3
"GATA107" 10 "4" 146
"GATA8A05" 8 "4" 158
