"id" "sex" "population" "region"
"1" "1" "1" "Brahui" "Asia"
"2" "3" "1" "Brahui" "Asia"
"3" "5" "1" "Brahui" "Asia"
"4" "7" "1" "Brahui" "Asia"
"5" "9" "1" "Brahui" "Asia"
"6" "11" "1" "Brahui" "Asia"
"7" "13" "1" "Brahui" "Asia"
"8" "15" "1" "Brahui" "Asia"
"9" "17" "1" "Brahui" "Asia"
"10" "19" "1" "Brahui" "Asia"
"11" "21" "1" "Brahui" "Asia"
"12" "23" "1" "Brahui" "Asia"
"13" "25" "1" "Brahui" "Asia"
"14" "27" "1" "Brahui" "Asia"
"15" "29" "1" "Brahui" "Asia"
"16" "31" "1" "Brahui" "Asia"
"17" "33" "1" "Brahui" "Asia"
"18" "35" "1" "Brahui" "Asia"
"19" "37" "1" "Brahui" "Asia"
"20" "39" "1" "Brahui" "Asia"
"21" "41" "1" "Brahui" "Asia"
"22" "43" "1" "Brahui" "Asia"
"23" "45" "1" "Brahui" "Asia"
"24" "47" "1" "Brahui" "Asia"
"25" "49" "1" "Brahui" "Asia"
"26" "52" "1" "Balochi" "Asia"
"27" "54" "1" "Balochi" "Asia"
"28" "56" "1" "Balochi" "Asia"
"29" "57" "1" "Balochi" "Asia"
"30" "58" "1" "Balochi" "Asia"
"31" "60" "1" "Balochi" "Asia"
"32" "62" "1" "Balochi" "Asia"
"33" "64" "1" "Balochi" "Asia"
"34" "66" "1" "Balochi" "Asia"
"35" "68" "1" "Balochi" "Asia"
"36" "70" "1" "Balochi" "Asia"
"37" "72" "1" "Balochi" "Asia"
"38" "74" "1" "Balochi" "Asia"
"39" "76" "1" "Balochi" "Asia"
"40" "78" "1" "Balochi" "Asia"
"41" "80" "1" "Balochi" "Asia"
"42" "82" "1" "Balochi" "Asia"
"43" "84" "1" "Balochi" "Asia"
"44" "86" "1" "Balochi" "Asia"
"45" "88" "1" "Balochi" "Asia"
"46" "90" "1" "Balochi" "Asia"
"47" "92" "1" "Balochi" "Asia"
"48" "94" "1" "Balochi" "Asia"
"49" "96" "1" "Balochi" "Asia"
"50" "98" "1" "Balochi" "Asia"
"51" "99" "1" "Balochi" "Asia"
"52" "100" "1" "Hazara" "Asia"
"53" "102" "1" "Hazara" "Asia"
"54" "103" "1" "Hazara" "Asia"
"55" "104" "1" "Hazara" "Asia"
"56" "105" "1" "Hazara" "Asia"
"57" "106" "1" "Hazara" "Asia"
"58" "108" "1" "Hazara" "Asia"
"59" "109" "1" "Hazara" "Asia"
"60" "110" "1" "Hazara" "Asia"
"61" "111" "1" "Hazara" "Asia"
"62" "112" "1" "Hazara" "Asia"
"63" "113" "1" "Hazara" "Asia"
"64" "115" "1" "Hazara" "Asia"
"65" "116" "1" "Hazara" "Asia"
"66" "118" "1" "Hazara" "Asia"
"67" "119" "1" "Hazara" "Asia"
"68" "120" "1" "Hazara" "Asia"
"69" "121" "1" "Hazara" "Asia"
"70" "122" "1" "Hazara" "Asia"
"71" "124" "1" "Hazara" "Asia"
"72" "125" "1" "Hazara" "Asia"
"73" "127" "1" "Hazara" "Asia"
"74" "128" "1" "Makrani" "Asia"
"75" "129" "1" "Makrani" "Asia"
"76" "130" "1" "Makrani" "Asia"
"77" "131" "1" "Makrani" "Asia"
"78" "133" "1" "Makrani" "Asia"
"79" "134" "1" "Makrani" "Asia"
"80" "135" "1" "Makrani" "Asia"
"81" "136" "1" "Makrani" "Asia"
"82" "137" "1" "Makrani" "Asia"
"83" "139" "1" "Makrani" "Asia"
"84" "140" "1" "Makrani" "Asia"
"85" "141" "1" "Makrani" "Asia"
"86" "143" "1" "Makrani" "Asia"
"87" "144" "1" "Makrani" "Asia"
"88" "145" "1" "Makrani" "Asia"
"89" "146" "1" "Makrani" "Asia"
"90" "148" "1" "Makrani" "Asia"
"91" "149" "1" "Makrani" "Asia"
"92" "150" "1" "Makrani" "Asia"
"93" "151" "2" "Makrani" "Asia"
"94" "153" "2" "Makrani" "Asia"
"95" "154" "2" "Makrani" "Asia"
"96" "155" "2" "Makrani" "Asia"
"97" "157" "2" "Makrani" "Asia"
"98" "158" "1" "Makrani" "Asia"
"99" "160" "1" "Makrani" "Asia"
"100" "161" "1" "Makrani" "Asia"
"101" "163" "1" "Sindhi" "Asia"
"102" "165" "1" "Sindhi" "Asia"
"103" "167" "1" "Sindhi" "Asia"
"104" "169" "1" "Sindhi" "Asia"
"105" "171" "1" "Sindhi" "Asia"
"106" "173" "1" "Sindhi" "Asia"
"107" "175" "1" "Sindhi" "Asia"
"108" "177" "1" "Sindhi" "Asia"
"109" "179" "1" "Sindhi" "Asia"
"110" "181" "1" "Sindhi" "Asia"
"111" "183" "1" "Sindhi" "Asia"
"112" "185" "1" "Sindhi" "Asia"
"113" "187" "1" "Sindhi" "Asia"
"114" "189" "1" "Sindhi" "Asia"
"115" "191" "1" "Sindhi" "Asia"
"116" "192" "2" "Sindhi" "Asia"
"117" "195" "2" "Sindhi" "Asia"
"118" "197" "1" "Sindhi" "Asia"
"119" "199" "1" "Sindhi" "Asia"
"120" "201" "1" "Sindhi" "Asia"
"121" "203" "1" "Sindhi" "Asia"
"122" "205" "1" "Sindhi" "Asia"
"123" "206" "2" "Sindhi" "Asia"
