"PRAD" "PNAD" "PRAA" "PNAA" "PRDA" "PNDA" "PRLI" "PRINF" "PNINF" "PRSUP" "PNSUP" "PNO" "PNPERIOP" "PRD" "PND"
4 53 4 26 6 76 8 5 62 1 91 12 5 7 20
8 5 5 0 13 8 7 13 1 6 12 1 3 10 1
9 40 5 12 11 41 11 12 28 2 64 13 5 10 10
4 56 6 11 15 48 10 13 38 2 74 14 4 6 25
0 48 0 14 0 56 0 0 47 0 67 8 3 0 30
6 17 3 10 8 24 5 6 9 2 42 2 3 0 0
3 20 3 8 4 19 6 4 20 0 35 3 3 0 0
4 8 2 0 7 3 4 7 7 2 4 0 3 0 0
3 15 3 0 5 4 8 3 10 0 9 3 3 0 0
6 42 8 9 16 54 12 16 37 2 68 9 4 7 15
4 24 5 12 13 20 10 9 23 3 32 8 4 1 30
5 21 4 7 9 18 8 8 11 2 34 3 3 0 0
0 64 0 14 0 59 0 0 52 0 71 33 5 4 35
5 62 5 19 11 59 7 12 57 1 79 12 5 9 25
15 14 7 10 15 11 11 16 7 10 28 0 3 0 0
1 51 6 13 9 53 8 8 39 0 73 17 5 0 20
3 68 0 23 3 83 6 0 82 0 90 24 8 0 35
4 19 4 3 8 9 6 7 12 3 18 2 3 0 0
4 86 26 17 37 69 6 38 68 23 93 15 6 12 20
7 25 6 2 13 10 9 9 12 8 25 1 3 0 0
4 24 3 2 3 19 7 3 12 0 33 1 3 0 0
5 9 3 3 3 10 8 4 10 2 12 2 3 0 0
1 15 2 4 5 8 7 2 8 0 19 0 3 0 0
4 15 2 3 6 9 7 4 8 1 19 0 3 0 0
2 36 3 11 4 19 8 1 19 0 46 6 3 0 0
5 32 13 19 18 56 9 11 26 16 81 16 5 0 25
6 21 9 19 15 28 13 11 14 6 53 8 3 7 20
8 55 13 10 20 44 10 16 33 15 74 11 6 3 20
5 20 19 7 23 26 10 19 12 18 41 7 3 8 25
9 36 12 15 19 42 9 19 20 12 72 8 5 7 10
5 30 8 18 14 37 8 14 27 5 56 8 3 4 20
4 51 9 19 13 51 9 13 39 4 80 21 5 8 30
4 53 17 27 16 52 9 16 51 12 80 16 6 12 20
4 48 7 17 13 50 11 10 30 3 82 12 6 9 15
6 41 9 18 18 44 7 15 33 10 68 10 6 10 20
5 21 11 14 13 30 10 16 15 3 47 10 7 6 10
7 53 8 17 16 68 11 17 50 3 85 10 5 8 15
5 48 12 30 21 57 10 17 49 10 84 19 5 8 25
3 46 12 34 13 79 10 14 54 4 104 17 6 4 25
10 20 9 9 14 27 10 17 10 5 45 8 4 7 20
7 38 7 5 15 38 12 11 14 6 66 10 6 12 15
11 26 7 10 14 28 8 13 3 11 60 1 3 5 10
7 51 14 27 21 49 9 18 43 15 83 12 6 8 20
9 24 13 18 19 25 10 18 22 13 44 13 4 2 15
5 14 11 14 15 29 11 12 13 8 44 9 4 4 15
3 58 11 35 13 75 9 12 56 6 110 23 7 8 25
3 60 10 46 14 100 8 16 66 3 138 20 7 4 30
7 44 9 14 17 52 11 12 43 10 66 12 4 5 20
8 43 9 37 10 61 8 17 48 2 93 13 4 7 10
6 46 13 19 14 65 10 14 36 9 94 14 5 9 15
10 26 4 6 10 25 9 13 12 2 44 2 3 2 20
8 21 3 6 7 28 8 10 8 0 47 2 3 0 15
11 41 10 6 14 30 10 14 15 11 47 3 3 7 10
7 19 5 3 11 16 3 12 10 8 28 3 3 0 15
6 25 7 4 11 16 8 11 10 5 35 2 3 5 7
