"rd" "ra" "rpelg" "rpecg" "caec"
11 9 9 12 45
11 8 9 13 51
11 8 9 13 34
11 9 9 13 50
11 10 9 13 39
11 9 9 13 58
12 10 9 13 63
12 10 9 13 43
12 9 9 13 52
11 10 9 13 41
12 10 9 12 45
11 9 9 14 55
11 9 9 13 51
11 9 9 12 44
12 9 9 14 48
11 10 8 13 39
11 10 9 12 54
12 9 9 13 50
11 9 10 13 43
11 9 9 13 57
10 10 9 13 69
11 10 9 12 46
11 10 9 12 73
10 9 9 12 60
10 9 9 13 58
11 10 9 13 34
10 9 9 13 33
11 10 9 13 31
11 10 9 13 31
11 9 9 13 50
10 9 9 13 59
10 9 9 13 34
11 10 9 13 28
11 9 9 14 32
11 9 9 12 31
10 9 9 13 41
10 9 9 13 42
11 9 9 13 39
11 10 9 13 39
11 9 9 12 40
10 10 9 13 46
11 10 9 14 70
10 10 9 13 40
11 9 9 14 41
11 9 9 13 35
11 10 9 11 37
11 9 9 10 45
11 10 9 11 28
11 10 9 11 31
9 9 9 12 40
11 10 9 11 50
11 9 9 11 54
11 9 9 13 42
11 9 9 13 57
10 9 9 13 54
11 10 9 13 32
12 10 9 13 48
11 9 9 13 74
11 10 8 12 43
12 10 9 14 45
12 10 9 13 36
10 9 9 13 70
11 9 10 13 60
11 9 9 13 52
11 10 9 13 43
11 9 9 12 55
12 9 10 13 58
12 9 9 13 35
11 9 9 13 45
12 10 9 13 44
11 9 9 14 41
11 10 9 14 36
11 9 9 13 46
11 9 9 12 57
12 9 9 13 30
11 9 9 13 52
12 10 9 12 73
12 10 9 12 47
11 9 9 13 49
11 9 9 13 65
12 9 9 12 44
12 9 9 12 44
12 9 9 13 38
12 9 9 13 33
11 9 9 13 26
12 9 9 13 35
12 9 9 13 39
12 9 9 13 40
12 9 9 13 31
12 9 9 12 38
11 9 9 13 48
11 10 9 13 41
11 9 9 14 53
10 10 9 13 37
11 10 9 13 38
11 10 9 13 48
11 9 9 13 63
11 9 9 13 39
11 10 9 14 66
11 10 9 14 44
11 9 9 13 40
11 10 9 13 40
11 9 9 14 46
11 9 9 13 41
11 9 9 13 44
11 9 9 13 42
12 9 9 13 60
11 9 9 14 37
11 10 9 13 39
11 9 9 13 37
12 10 8 13 37
11 9 9 13 34
11 10 9 13 45
11 10 10 13 50
11 9 9 12 58
11 10 9 12 47
11 9 9 12 50
11 10 9 13 39
10 10 9 14 56
12 10 10 13 41
11 10 9 14 41
11 10 9 14 47
10 9 9 13 36
12 10 9 14 51
11 9 9 13 31
11 10 9 13 34
12 10 9 14 41
12 11 9 13 37
11 9 9 12 46
11 9 9 14 53
11 10 9 14 70
12 10 9 14 36
12 11 9 14 57
11 9 9 14 47
11 9 9 14 47
11 9 9 13 53
11 9 9 12 37
10 9 9 12 43
12 9 9 14 44
11 10 9 13 30
12 10 9 13 41
11 9 9 14 55
11 10 9 14 29
12 10 9 14 70
11 10 9 14 44
11 9 9 14 42
11 9 9 13 71
11 10 9 14 44
12 10 9 13 65
11 10 9 14 65
11 10 9 14 38
12 9 9 13 40
11 8 9 12 48
10 10 9 13 29
11 9 9 13 33
12 10 9 13 65
11 9 9 14 40
10 9 9 13 47
11 10 9 14 47
11 9 9 14 69
11 9 9 13 54
11 10 9 13 48
11 10 9 14 38
10 9 9 13 43
11 10 9 13 45
10 9 9 13 46
12 10 9 13 66
11 10 9 13 40
11 9 9 13 39
10 9 9 13 41
11 9 9 13 42
11 9 9 14 29
11 10 9 13 47
11 9 9 13 29
10 9 9 12 43
11 9 9 13 31
11 10 9 12 39
11 9 9 13 40
11 9 9 13 36
11 10 9 13 30
11 9 9 13 42
11 9 9 14 49
10 9 9 14 50
12 9 9 14 50
10 9 9 13 53
10 9 9 14 45
10 9 9 13 42
10 9 9 13 45
11 9 9 14 41
11 9 9 13 29
10 9 9 13 50
10 8 9 13 46
11 9 9 13 44
12 9 9 13 55
10 9 9 13 54
11 9 9 13 50
10 9 9 14 48
11 9 9 12 54
11 9 9 14 37
11 10 9 13 49
12 10 9 12 44
12 10 9 12 43
11 9 9 12 55
11 9 9 12 46
11 8 9 13 57
9 7 9 12 64
11 9 9 13 66
10 9 9 12 64
10 9 9 13 43
11 8 9 11 50
11 9 9 12 56
11 9 9 13 50
11 10 9 13 65
11 9 9 13 66
10 9 9 13 55
10 8 9 13 55
10 9 9 13 70
11 9 9 13 49
11 9 9 13 50
11 9 9 12 68
12 9 9 14 58
11 9 9 13 44
11 9 9 13 63
11 10 10 14 66
11 9 9 14 48
11 9 9 14 74
11 9 9 14 57
11 9 9 13 39
11 9 9 14 66
11 9 9 13 39
11 9 9 13 45
10 9 9 13 47
11 9 9 12 37
11 9 9 14 54
11 10 9 13 46
9 9 9 13 44
11 9 9 12 54
11 10 9 13 52
10 9 9 13 58
11 9 9 14 73
11 9 9 12 43
11 10 9 13 62
11 9 9 13 57
11 9 9 12 63
12 10 9 13 46
11 10 9 13 38
12 10 9 13 49
12 10 9 14 40
11 9 9 14 73
12 9 9 13 57
10 9 9 13 66
12 10 9 14 41
12 10 9 14 49
12 10 9 13 48
12 10 9 14 56
12 9 9 13 44
12 10 9 13 40
11 10 9 14 47
12 10 9 14 49
11 9 9 13 65
11 10 9 14 37
11 9 9 12 66
12 10 9 13 65
11 10 9 13 55
12 10 9 13 61
12 10 9 13 43
11 10 9 13 41
11 10 9 13 48
11 9 9 14 52
10 10 9 14 68
11 9 9 14 60
11 10 9 14 57
11 9 9 13 58
11 9 9 13 59
12 9 9 13 45
11 9 9 13 51
12 10 9 13 47
11 9 9 14 53
11 9 9 14 48
11 9 9 14 49
11 10 9 14 51
11 9 9 14 35
11 10 9 14 46
11 9 9 13 42
11 10 9 13 37
11 9 9 13 41
11 9 9 13 46
11 10 8 13 44
11 10 9 14 40
11 9 9 14 43
11 10 9 14 51
11 9 9 14 46
12 9 9 14 43
11 10 9 13 54
11 10 9 14 50
11 10 9 13 40
11 10 9 13 42
11 10 9 13 48
11 10 9 13 38
11 10 9 13 38
12 10 9 13 37
11 10 9 13 44
11 9 9 13 41
11 10 9 13 38
11 10 9 13 41
12 10 9 13 48
