"LS" "MD" "MAD" "MAN" "MPEL" "MPEC" "DAD" "DC" "DAN" "DPEL" "DPEC" "ADC" "ADAN" "ADPEL" "ADPEC" "PECPEL" "PECAN" "PECC" "PELAN" "PELC" "ANC" "LPRO" "DO" "LPOO" "LTET" "HTET" "LMAX" "LAD" "LD" "HD" "LC" "LAN" "HAN" "LPELG" "LPECG" "HPED" "ETET"
125.89 55.31 99.56 88.39 65.41 33.19 46.83 74.33 43.99 30.81 32.76 28.46 23.36 41.51 71.33 33.57 56.35 95.23 23.13 62.28 39.47 7.36 8.34 17.11 31.62 16.2 15.32 9.41 17.93 19.05 22.64 12.01 18.16 18.13 24.54 13.1 11.26
135.44 61.03 107.55 98.79 74.11 37.71 49.18 80.48 49.4 34.97 41.56 30.74 24.41 43.52 78.54 38.15 63.81 102.85 26.19 65.82 40.01 7.99 9.98 19.2 35 22.58 16.98 13.11 18.12 21.22 25.11 11.36 16.59 18.84 26.36 14.54 12.98
118.84 55.12 94.81 85.62 64.71 29.78 41.21 66.37 40.52 27.66 36.51 26.06 22.61 37.95 70.39 37.15 58.5 93.17 21.08 56.45 36.09 7.22 7.78 16.55 30.37 17.79 14.66 8.66 15.84 19.17 20.86 10.82 16.18 17.77 23.83 12.6 10.54
136.7 60.34 107.88 99.11 72.31 37.41 48.43 80.06 48.36 30.3 36.65 31.24 23.03 41.2 75.31 36.85 62.94 101.55 25.82 64.58 39.34 7.43 9.54 19.04 34.69 19.83 16.99 10 20.28 22.6 25.05 13.6 19.61 20.07 25.86 13.35 12.89
234.27 105.23 188.76 171.18 127.3 59.68 85.35 133.61 81.18 48.23 63.11 46.96 38.91 69.86 137.14 69.99 115.89 179.94 45.04 110.08 66.86 14.25 14.43 32.65 58.53 34.71 31.38 15.41 33.8 35.76 36.53 23.96 42.19 31.65 40.94 20.76 23.14
123.85 58.83 99.25 92.19 68.63 33.69 41.89 67.47 41.98 28.31 35.41 26.7 22.49 40.63 73.4 37.47 62.74 96.06 25.14 60.93 35.89 6.87 7.81 16.87 30.99 18.05 14.95 9.49 16.62 11.27 20.72 11.83 16.16 14.75 16.86 12.02 10.31
114.64 50.63 91.75 82.2 59.32 23.63 42.62 67.83 39.96 26.81 33.58 25.76 21.55 40.06 70.55 36.23 58.83 93.19 23.19 58.11 35.08 6.33 7.71 14.92 27.86 17.98 13.62 7.97 15.19 7.85 16.31 11.81 13.75 14.41 13.1 12.27 10
121.46 56.47 95.65 88.55 64.86 30.42 40.94 67.33 40.54 27.1 34.56 25.79 19.14 37.07 67.48 34.28 61.43 92.54 24.82 59 34.89 7.54 8.15 15.07 29.94 19.37 14.55 7.27 15.85 13.45 18.51 10.7 16.02 15.72 19.72 10.82 9.94
108.23 49.13 86.25 78.57 56.99 28.07 39.63 61.1 37.28 24.01 31.46 22.67 18.96 36.15 62.69 30.23 51.64 81.93 20.98 52.1 31.38 6.75 7.55 14.78 27.43 16.95 13.31 9.01 15.19 5.26 18.93 10.14 13.72 15.05 11.32 10.91 8.96
122.29 54.58 98.13 91.42 63.54 31.8 44.06 68.76 42.48 25.52 32.11 25.04 20.49 39.58 71.84 32.47 62.07 94.18 28.13 62.47 34.23 7.17 8.39 15.03 30.01 18.17 14.84 11.17 16.22 17.33 18.6 10.59 14.89 16.92 23.82 11.06 10.6
159.17 74.69 129.95 115.8 88.19 43.5 57.38 89.4 53.75 36.58 44.62 32.77 27.52 49.77 91.81 45.72 74.17 119.52 27.78 73.6 45.88 10.59 9.9 24.04 43.99 24.33 21.39 13.01 23.76 25.39 26.4 15.85 24.66 25.12 32.84 16.33 16.61
128.6 58 99.8 93.44 67.73 31.01 43.29 72.07 43.24 26.85 35.35 28.74 20.61 38.6 73.52 37.19 63.26 99.83 27.91 63.74 37.4 6.96 8.57 17.05 31.56 18.79 14.21 9.66 16.3 10.81 16.41 10.87 13.71 15.78 16.1 11.33 10.53
214.32 99.18 169.19 154.66 112.82 52.95 71.22 119.27 71.25 47.98 60.46 48.84 35.47 71.55 123.62 61.96 107.82 165.41 45.36 105.8 59.02 15.58 11.93 30.38 55.15 33.56 30.29 19.07 28.47 35.68 32.68 20.83 34.21 31.35 41.98 20.87 20.02
137.8 61.46 109.79 99.32 74.63 34.36 49.7 78.59 45.69 29.73 40.96 29.39 21.25 41.87 82.86 43.54 68.15 110.1 24.33 66.77 39.09 8.93 8.2 17.36 32.7 20.21 15.51 10.96 17.81 20.5 22.06 12.4 16.94 17.46 23.98 12.84 10.74
115.73 54.04 93.61 83.65 62.35 33.08 41.71 65.93 40.12 28.9 34.72 24.61 18.94 36.93 66.91 31.58 53.28 85.51 21.82 54.78 33.16 7.27 7.46 15.27 27.46 19.32 13.25 10.52 15.47 8.9 16.7 9.9 11.81 13.9 13.55 11.62 9.27
177.41 82.95 142.83 130.91 92.17 48.65 62.39 100.94 62.39 41.08 55.56 37.78 32.57 59.15 104.42 47.73 86.03 136.9 38.79 89.84 52.75 11.61 11.19 26.18 46.84 26.4 25.04 13.28 24.69 28.01 27.89 17.14 27.22 26.39 33.96 18.89 18.45
199.37 95.1 161.18 146.2 110.34 56.62 70.18 110 68.8 48.28 57.98 40.83 37.47 62.17 113.12 56.34 92.43 147.54 36.13 92.13 56.86 13.83 14 31.58 57.74 31.76 33.16 18.82 28.17 35.35 36.94 20.27 32.15 33.25 40.62 20.77 21.21
100.33 45.69 79.92 75.57 56.19 30.67 34.12 55.37 34.66 21.86 26.19 21.61 17.26 31.71 55.95 26.77 48.17 73.77 20.9 47.67 28.16 6.15 7.44 13.81 26.13 14.53 12.85 8.26 11.89 6.36 8.97 8.97 13.84 13.08 17.01 10.85 8.77
144.48 64.98 112.91 104.1 73.56 37.62 49.72 82.89 50.76 33.71 40.24 33.34 25.77 49.66 83.12 36.23 67.58 109.34 32.06 73.56 42.81 9.33 8.85 20.77 37.03 20.56 18.02 10.7 19.37 21.77 24.43 14.38 21.18 21.24 27.81 15.08 14.7
102.12 46.38 80.9 74.31 55.2 25.64 36.31 NA 36.18 NA 30.62 22.06 16.1 NA 58.96 31.69 NA NA 19.6 NA 29.14 6.21 6.83 13.45 25.19 NA 11.83 8.14 12.78 4.72 12.98 9.07 10.33 12.48 14.56 NA 7
85.91 42.06 68.31 62 43.92 22.18 28.43 NA 26.1 NA 22 18.09 13.41 NA 48.66 23.63 NA NA 18.56 NA 24.58 5.04 5.76 10.9 21.21 NA 9.76 6.13 9.56 4.03 12.1 7.8 9.25 9.91 6.92 NA 5.72
79.84 39.19 65.41 57.81 43.38 19.54 28.47 NA 27.41 NA 24.98 15.98 13.34 NA 47.32 24.18 NA NA 14.21 NA 23.23 4.9 5.73 10.85 21.24 NA 10.27 5.93 9.94 5.12 12.92 7.46 10.32 10.95 9.87 NA 6.12
82.27 37.65 66.7 61.16 43.29 20.34 30.83 NA 30.07 NA 23.58 16.18 13.11 NA 49.41 24.28 NA NA 18.61 NA 22.8 4.43 6.49 10.5 21.16 NA 10.06 6.19 9.52 9.11 11.98 7.75 11.1 10.2 12.49 NA 5.99
100.5 49.51 80.62 76.15 53.23 24.8 33.02 NA 34.75 NA 29.42 21.28 16.39 NA 56.28 29.78 NA NA 21.38 NA 27.5 6.38 6.72 14.32 26.35 NA 11.57 7.62 11.62 9.97 14.35 7.68 11.99 11.89 13.59 NA 6.87
131.9 60.71 107.58 98.28 74.12 32.67 48.71 NA 47.03 NA 38.42 25.43 22.63 NA 79.82 41.47 NA NA 24.68 NA 37.39 8.15 7.59 18.29 33.27 NA 15.74 8.93 17.78 10.99 18.14 11.11 15.64 16.15 16.99 NA 10.01
151.66 72.53 122.67 112.7 80.13 42.31 52.11 82.17 53.48 32.03 40.18 30.12 28.29 50.64 84.07 38.39 72.9 111.34 34.48 74.12 42.51 8.9 11.98 21.81 41.31 24.38 17.97 13.11 20.95 25.77 29.12 16.53 24.56 22.37 29.57 16.2 11.47
158.84 72.83 127.91 110.54 81.28 37.41 59.3 91.95 54.57 36.31 43.52 33.41 29.56 52.68 92.46 44.54 73.78 122.13 31.05 80.03 50.68 8.57 10.51 21.71 39.6 22.39 19.76 11.62 20.66 22.2 24.62 16.06 23.3 23.34 27.9 16.53 11.01
134.53 62.25 107.59 99.58 74.81 36.23 45.45 74.29 46.38 31.29 40 28.27 26.24 44.39 78.85 41.11 68.69 103.49 27.35 64.75 39.89 7.87 8.67 18.53 34.37 19.51 17.15 10.34 15.6 19.55 24.86 12.6 19.77 21.25 26.2 14.14 8.97
130.45 61.76 105.68 94.28 69.33 35.09 45.59 72.52 46.4 32.02 37.33 26.53 24.93 41.56 76.41 38.44 61.3 97.84 24.76 62.75 38.68 7.09 9.13 19.22 35.57 20.64 18.61 11.46 18.41 23.07 26.29 14.92 19.8 20.12 28.84 14.56 9.96
132.03 64.05 106.64 98.5 72.82 36.87 45.38 72.46 46.41 31.68 36.91 27.17 24.19 41.69 73.69 38.14 62.6 98.34 25.08 61.66 37.36 8.5 10.14 18.24 35.73 20.8 17.91 8.26 16.18 20.15 20.6 11.96 18.52 19.55 25.54 13.85 9.7
175.18 86.44 138.56 127.68 99.02 45.3 58.5 95.02 59.65 41.49 52.65 37.98 27.86 47.65 99.1 55.78 86.66 131.07 29.77 76.71 48.17 10.42 8.38 23.22 45.6 25.33 25.69 14.54 22.31 19.64 26.85 17.88 23.39 18.7 22.35 17.29 11.18
174.9 83.36 139.75 130.11 98.64 60.79 58.77 95.06 56.72 40.78 44.53 36.92 29.73 51.33 92.76 46.08 77.79 123.89 34.55 80.02 46.99 12.48 12.29 25.19 49 29.04 27.77 15.61 21.35 25.04 28.95 15.56 25.13 24.67 34.67 18.05 12.84
164.71 76.9 129.04 118.1 85.74 44.13 56.5 93.27 55.11 36 44.22 37.01 29.77 51.21 90.18 43.09 76.07 123.8 33.41 83.13 51.51 10.38 10.36 24.17 43.62 25.27 22.06 14.39 20.79 25.7 28.69 17.4 26.04 26.92 31.17 16.79 12.25
149.71 69.22 119.07 110 80.71 41.63 52.41 82.91 52.5 36.31 41.12 30.64 27.55 49.21 83.69 38.31 69.84 111.38 31.3 73.64 43.97 9.52 10.17 21.42 40.6 23.34 21.06 13.36 20.31 24.49 26.29 13.82 22.17 23.2 29.08 16.15 10.39
138.75 64.97 109.6 99.95 73 39.55 46.55 77.44 45.02 31.33 40.83 30.84 20.64 45.34 78.27 37.45 63.71 103.36 27.82 68.51 40.49 8.75 10.33 18.59 36.53 20.91 18.82 10.76 17.64 23.32 22.52 12.75 21.42 20.44 26.94 13.93 9.64
139.4 62.9 111.06 100.29 73.12 38.38 49.24 80.39 46.42 30.36 36.93 31.25 23.4 42.41 76.76 36.54 63.51 103.86 28.12 68.04 41.9 7.68 9.51 19.12 35.05 19.86 17.13 10.04 17.7 20.91 23.38 12.51 20.02 20.92 25.35 13.12 9.56
139.81 64.57 113.27 105.34 81.63 40.98 49.8 77.54 48.59 35.37 40.43 28.57 25.46 42.81 83.22 45.25 69.75 105.48 24.77 61.95 37.58 7.32 8.66 20.05 36.28 21.14 18.58 9.12 17.18 19.77 27.09 12.08 18.09 20.65 26.56 14.85 9.67
140.06 66.88 114.8 102.25 76.41 41.79 49.59 77.67 48.04 31.16 36.83 27.94 25.71 44.03 78.16 36.08 62.58 100.9 26.52 65.22 40.02 7.74 10.07 20.6 38.22 22.34 19.55 10.26 19.24 21.7 26.36 14.45 21.27 21.2 28.94 14.75 9.55
162.76 72.13 130.9 117.06 87.11 42.77 62.32 96.18 56.99 37.48 43.77 36.81 29.04 50.57 94.6 45.85 74.22 22.03 30.02 78.85 49.67 8.82 12.04 21.18 39.69 21.84 21.63 13.19 18.75 14.33 20.94 11.2 15.6 17.33 25.63 16.99 10.29
137.37 64.66 110.76 100.59 72.47 35.4 47.84 75.23 47.76 30.02 39.8 28.48 25.83 44.24 79.69 39.7 67.22 104.74 28.47 67.63 41.53 8.16 10.14 19.28 36.27 20.96 18.01 8.78 18.84 17.32 22.93 13.66 20.12 19.6 24.97 14.93 8.92
132.16 59.39 107.17 94.98 75.24 33.44 50.74 76.25 45.44 32.51 37.24 25.45 23.78 40.64 81.94 42.93 64.59 102.62 21.54 60.33 39.02 7.07 7.4 16.96 33.22 17.35 15.79 9.31 17.2 17.08 22.35 12.13 17.12 14.87 20.8 14.97 10.03
168.36 74.95 132.2 125.18 91.97 41.98 59 93.88 60.37 39.91 47.55 36.13 30.41 51.8 98.92 50.76 84.85 129.07 32.72 80.08 47.62 7.61 10.19 22.72 39.34 25.29 19.41 10.35 22.46 25.13 29.63 15.63 21.06 21.34 27.31 16.99 11.26
139.75 65.86 112.14 98.65 73.43 41.84 49.06 79.3 45.44 33.58 40.32 29.23 25.87 46.42 79.15 35.86 62.78 104.32 27.62 68.66 42.92 8.61 10.03 19.82 37.67 21.02 18.6 11.88 18.67 18.86 20.54 12.99 18.29 20.83 27.09 15.2 10.55
114.78 53.28 91.23 82.51 60.7 32.37 39.53 64.75 39.59 26.16 30.13 25.06 20.58 35.78 62.78 30.21 52.75 87.26 22.57 55.74 35.53 6.65 8.83 15.4 30.35 17.18 15.23 8.65 15.87 19.21 19.41 10.83 17.71 16.98 22.73 12.02 7.86
138.41 63.11 113.17 101.17 76.55 39.99 52.28 79.91 47.66 33.76 37.46 28.9 25.1 45.47 79.62 38.37 62.67 103.44 25.32 64.54 39.49 7.18 9.39 18.75 36.21 20.71 18.12 9.44 18.69 20.5 24.29 13.25 18.11 19.36 26.54 14.72 9.73
145.05 66.74 116.88 106.49 79.23 44.81 51.69 NA 50.14 NA 37.46 30.35 25.9 NA 77.53 35.51 NA NA 29.24 NA 43.21 8.88 9.99 21.63 39.56 NA 21.25 13.81 21.57 26.19 23.93 14.9 21 20.75 27.61 NA 10.51
145.42 69.03 115.65 105.15 79.43 44.32 50.77 NA 52.01 NA 40.07 31.64 26.66 NA 77.2 37.28 NA NA 25.88 NA 44.61 8.93 10.01 21.66 40.46 NA 21.57 12.73 20.66 25.38 27.11 15.48 22.57 20.86 28.87 NA 10.57
106.9 49.03 83.97 77.77 55.76 27.95 36.5 NA 37.1 NA 28.7 25.07 18.5 NA 59.92 28.44 NA NA 23.42 NA 31.68 5.51 8.1 15.4 28.86 NA 14.24 8.94 14.13 20.55 17.38 11.04 14.91 16.08 21.73 NA 7.8
