"taPR" "taPN"
1.4 1.95
1.4 1.6
1.3 1.5
1.6 2.5
2.21 1.9
1.3 1.5
1.45 1.6
1.5 1.7
1.5 1.9
1.3 1.9
1.7 2.45
1.9 2.6
2.21 2.5
1.7 1.5
1.35 1.5
2.3 2.6
1.9 2.9
1 1.6
1.8 1.9
1.5 1.8
0.9 1.7
1.3 1.6
0.9 1.9
1.5 1.9
1.28 2.8
2.9 2.9
2.5 1.7
1.7 1.9
2.4 2.8
2.4 1.8
2.9 3.3
2.9 2.4
2.5 2.8
2.7 2.4
2.3 2.7
2.3 1.85
2.3 2.4
2.35 1.9
2.4 2.5
2.35 2.35
1.8 2.1
2.6 3.3
2.4 1.9
1.9 1.5
2.4 2.5
2.4 2.4
2.45 2.5
2.1 1.5
2.1 1.5
2.4 2.5
1.8 1.9
1.6 1.7
1.85 2.7
1.3 2.9
2.1 2.4
2.4 2.7
1.55 2.2
1.6 2.5
1.9 2.4
2.8 2.9
2.9 2.5
1.7 2.5
1.6 2.2
1.9 2.8
1.4 1.9
1.6 2.6
1.5 2.95
3.8 2.5
1.6 2.4
2.3 2.5
1.7 2.9
1.9 2.9
1.9 2.4
1.7 2.4
2.95 2.9
1.5 2.6
2.7 2.5
1.8 2.5
1.6 2.3
2.3 2.8
2.15 2.2
2.3 2.5
2.7 2.9
2.9 3.05
3.9 3.8
3.1 2.9
2.9 2.9
3.1 2.95
2.8 2.7
3.4 2.9
1.8 2.4
2.6 2.5
1.8 2.4
2.6 2.8
2.3 2.3
1.8 1.9
1.9 2.2
2.4 1.9
2.2 2.2
2.4 2.4
2.7 2.4
2.5 2.8
1.8 2.5
2.45 2.95
2.3 2.6
2.1 1.9
1.7 2.4
2.5 1.7
1.9 2.2
2.7 2.45
2.2 2.5
1.4 1.9
2.4 1.7
2.2 2.25
2.7 2.5
1.5 2.5
1.9 1.75
1.8 1.7
1.9 2.95
2.3 2.8
1.95 3.45
2.75 3.75
2.4 2.4
2.45 3.45
2.7 2.9
2.33 2.75
2.85 3.5
2.2 2.95
2.5 2.8
2.2 3.3
2.35 2.9
2.8 3.5
2.7 3.25
2.25 2.95
2.5 2.75
2.6 2.85
1.55 1.65
2.4 2.55
2.05 2.3
2.1 2.9
2.2 2.45
1.9 2.85
1.9 2.9
2.55 3.35
2.45 2.9
2.1 2.4
1.65 2.75
1.7 2.3
2.55 1.9
3.4 3.15
1.75 1.85
1.85 2.4
2.2 2.5
2.05 2.05
1.9 1.6
1.6 1.7
1.9 1.85
1.6 1.75
1.5 1.6
1.75 1.6
2.75 2.4
1.4 1.6
2.55 2.5
1.35 2.4
1.6 2.55
2.2 2.85
2.1 2.1
1.65 2.75
1.6 1.9
1.55 2.2
2 1.9
1.9 2.5
1.85 2.3
2.4 2.45
2.2 1.55
1.7 2.25
2.5 3.05
1.9 2.4
2.4 2.8
2.1 2.3
2.13 3.2
2.51 3.18
2.67 2.21
2.9 2.76
2.13 2.13
2.95 3.38
2.09 2.07
2.41 2.17
2.79 2.96
1.92 2.39
3.04 3.39
2.34 3.25
2.68 2.76
2.49 3.09
2.95 3.02
2.54 2.66
2.96 3.56
2.93 2.47
2.27 2.6
2.97 2.97
2.8 3.22
3.42 3.16
1.69 2.18
2.02 2.58
2.21 2.48
2.91 3.76
2.68 2.57
2.53 2.47
2.56 3.04
2.35 2.69
3.1 3.06
2.78 3.04
2.66 2.52
2.15 2.83
3.23 3.8
2.92 2.98
1.69 2.23
2.45 2.71
3.12 3.7
2.15 2.32
1.89 1.69
2.42 2.53
2.31 2.52
2.64 3.29
3.09 2.53
2.29 2.17
2.45 3.3
1.93 2.14
2.2 2.04
2.68 2.95
2.79 2.4
2.19 2.57
2.76 3.79
3.12 2.31
2.21 2.43
2.55 2.31
2.32 2.49
2.52 2.94
2.43 2.16
2.2 2.02
2.42 2.99
1.92 2.82
2.06 3.09
2.58 2.34
3.11 3.72
3.35 2.78
1.31 1.58
1.44 1.65
1.88 2.36
2.12 2.89
1.45 2.63
2.34 2.14
1.79 2.25
1.93 2.24
1.84 2.15
3.01 3.07
1.95 2.03
2.04 2.49
2.03 2.42
1.78 2.58
2 2.58
2.59 2.33
2.75 3.4
1.35 1.84
3.01 3.04
2.53 2.44
2.67 2.83
2.24 2.62
1.64 1.39
2.52 2.85
1.87 3.43
2.19 1.88
1.28 1.7
2.35 2.17
1.62 1.47
1.46 2.29
1.82 3.11
2.36 2.47
2.32 3.03
2.35 1.67
2.66 3.03
2.21 2.5
1.96 2.46
2.28 2.15
2.38 2.73
2 2.98
2.24 3.28
2.28 3.27
1.62 1.58
1.92 1.92
2.61 2.88
2.23 2.33
1.99 2.22
1.9 2.41
2.02 1.52
2.18 2.47
2.65 2.29
1.53 1.88
2.13 2.28
2.32 1.74
1.68 1.67
1.91 1.5
1.58 1.68
1.31 1.34
1.72 1.67
1.84 1.71
