"reg" "x" "y"
"a1" 357 181
"a1" 363 171
"a1" 373 174
"a1" 373 194
"a1" 363 196
"a2" 346 180
"a2" 341 183
"a2" 341 195
"a2" 363 196
"a2" 357 181
"a3" 327 198
"a3" 324 182
"a3" 334 179
"a3" 341 183
"a3" 341 195
"a4" 390 166
"a4" 373 174
"a4" 363 171
"a4" 358 161
"a4" 359 158
"a4" 382 155
"a4" 392 159
"a5" 373 174
"a5" 390 166
"a5" 385 192
"a5" 373 194
"a6" 346 180
"a6" 348 160
"a6" 358 161
"a6" 363 171
"a6" 357 181
"a7" 341 183
"a7" 334 179
"a7" 334 167
"a7" 348 160
"a7" 346 180
"a8" 321 162
"a8" 315 168
"a8" 313 177
"a8" 324 182
"a8" 334 179
"a8" 334 167
"a9" 307 195
"a9" 303 182
"a9" 313 177
"a9" 324 182
"a9" 327 198
"10" 346 132
"10" 360 133
"10" 367 117
"10" 363 108
"10" 355 106
"10" 343 115
"10" 343 128
"11" 332 106
"11" 334 93
"11" 338 91
"11" 344 90
"11" 355 106
"11" 343 115
"12" 344 90
"12" 353 82
"12" 377 90
"12" 363 108
"12" 355 106
"13" 344 90
"13" 338 91
"13" 331 73
"13" 341 63
"13" 345 64
"13" 352 70
"13" 353 82
"14" 357 51
"14" 370 63
"14" 352 70
"14" 345 64
"15" 352 70
"15" 370 63
"15" 378 64
"15" 377 90
"15" 353 82
"16" 363 108
"16" 377 90
"16" 388 119
"16" 367 117
"17" 390 125
"17" 374 138
"17" 363 136
"17" 360 133
"17" 367 117
"17" 388 119
"18" 285 110
"18" 304 106
"18" 305 128
"18" 290 134
"18" 279 117
"19" 322 110
"19" 323 125
"19" 305 128
"19" 304 106
"20" 328 128
"20" 343 128
"20" 343 115
"20" 332 106
"20" 322 110
"20" 323 125
"21" 331 73
"21" 341 63
"21" 339 59
"21" 321 54
"21" 314 59
"21" 316 72
"22" 338 91
"22" 334 93
"22" 308 85
"22" 316 72
"22" 331 73
"23" 308 85
"23" 289 79
"23" 287 66
"23" 301 54
"23" 314 59
"23" 316 72
"24" 304 106
"24" 285 110
"24" 278 91
"24" 281 86
"24" 289 79
"24" 308 85
"25" 289 140
"25" 298 150
"25" 298 158
"25" 289 168
"25" 274 166
"25" 283 144
"26" 303 182
"26" 289 188
"26" 277 185
"26" 274 166
"26" 289 168
"27" 253 155
"27" 250 139
"27" 253 136
"27" 283 144
"27" 274 166
"28" 283 144
"28" 289 140
"28" 290 134
"28" 279 117
"28" 262 118
"28" 253 126
"28" 253 136
"29" 313 177
"29" 303 182
"29" 289 168
"29" 298 158
"29" 315 168
"30" 321 162
"30" 322 150
"30" 321 147
"30" 315 146
"30" 298 150
"30" 298 158
"30" 315 168
"31" 304 106
