"V1" "V2"
1 2
2 3
1 4
1 5
2 5
4 5
1 6
2 6
4 6
2 7
3 7
6 7
3 8
7 8
3 9
8 9
10 11
10 12
11 12
11 13
12 13
13 14
12 15
13 15
14 15
10 16
12 16
15 16
10 17
16 17
18 19
10 20
11 20
19 20
13 21
11 22
13 22
21 22
21 23
22 23
18 24
19 24
22 24
23 24
9 26
25 26
25 27
26 27
18 28
25 28
27 28
8 29
9 29
25 29
26 29
8 30
25 30
29 30
11 31
19 31
20 31
22 31
24 31
18 32
19 32
25 32
28 32
30 32
6 33
7 33
8 33
30 33
19 34
20 34
30 34
32 34
10 35
20 35
30 35
33 35
34 35
4 36
6 36
10 36
17 36
33 36
35 36
4 37
17 37
36 37
4 38
5 38
16 38
17 38
37 38
14 39
15 39
13 40
14 40
21 40
39 40
21 41
40 41
21 42
23 42
41 42
23 43
42 43
43 44
44 45
43 46
44 46
45 46
45 47
46 47
42 48
43 48
46 48
47 48
47 49
48 49
40 50
41 50
42 50
48 50
49 50
49 51
50 51
39 52
40 52
50 52
51 52
23 53
24 53
43 53
44 53
44 54
45 54
53 54
24 55
53 55
54 55
18 56
24 56
28 56
55 56
28 57
55 57
56 57
54 58
55 58
57 58
27 59
28 59
57 59
27 60
59 60
59 61
57 62
58 62
59 62
61 62
61 64
62 64
63 64
59 65
60 65
61 65
64 65
64 66
65 66
66 67
63 68
64 68
66 68
67 68
67 69
68 69
63 70
68 70
69 70
67 71
60 72
66 72
67 72
71 72
60 73
65 73
66 73
72 73
67 74
71 74
67 75
69 75
74 75
63 76
70 76
74 77
75 77
69 78
70 78
75 78
77 78
70 79
76 79
78 79
76 80
79 80
77 81
78 81
81 82
82 83
83 84
82 85
83 85
84 85
78 86
79 86
81 86
82 86
85 86
79 87
85 87
86 87
79 88
80 88
84 88
85 88
87 88
71 89
74 89
77 89
81 89
81 90
89 90
81 91
82 91
83 91
90 91
83 92
91 92
90 93
91 93
92 93
83 94
84 94
92 94
93 94
93 95
94 95
94 96
95 96
95 97
96 97
