"tabBinary.Anemogamous" "tabBinary.Autogamous" "tabBinary.Entomogamous" "tabBinary.Annual" "tabBinary.Biennial" "tabBinary.Perennial" "tabBinary.Seasonnal" "tabQuantitative.Lfp" "tabQuantitative.Min.height" "tabQuantitative.Max.height" "Bfp" "tabOrdinal.Succulence" "tabOrdinal.Spikiness" "tabOrdinal.Hairy.leaves"
0 0 1 0 0 1 0 1.79175946922805 -2.30258509299405 -0.916290731874155 1.5 0 0 0
0 0 1 0 0 1 0 1.38629436111989 -2.30258509299405 0 7.5 0 0 0
0 0 1 1 1 1 0 1.79175946922805 -2.99573227355399 -1.20397280432594 6.5 0 0 0
0 0 1 0 0 1 0 1.6094379124341 0 0.405465108108164 4 0 0 0
0 0 1 0 0 1 0 1.6094379124341 -1.6094379124341 -0.693147180559945 2 0 0 0
0 0 1 0 0 1 0 0.693147180559945 -2.52572864430826 -1.38629436111989 10.5 0 0 0
0 0 1 0 0 1 0 1.38629436111989 0 0.587786664902119 8.5 0 0 0
0 0 1 0 0 1 0 1.09861228866811 -2.30258509299405 -1.20397280432594 9 0 0 0
1 0 0 0 0 1 0 1.38629436111989 -0.693147180559945 0 7.5 0 2 0
1 0 0 0 0 1 0 1.09861228866811 -1.38629436111989 0.693147180559945 6 0 2 0
1 0 0 0 0 1 0 2.30258509299405 -1.20397280432594 0.182321556793955 7.5 0 1 0
1 0 0 0 0 1 0 1.38629436111989 -1.20397280432594 0.693147180559945 6.5 0 2 0
1 0 0 0 0 1 0 1.38629436111989 -1.89711998488588 -0.22314355131421 8.5 0 0 0
1 0 0 1 0 0 0 0.693147180559945 -1.6094379124341 -0.22314355131421 4.5 0 0 1
1 1 0 1 0 0 0 1.6094379124341 -0.510825623765991 0.405465108108164 6 0 0 1
1 0 0 0 0 1 0 1.38629436111989 -0.693147180559945 0.182321556793955 5.5 0 0 0
1 0 0 1 0 0 0 1.94591014905531 -2.30258509299405 -0.916290731874155 7 0 0 1
1 0 0 1 0 0 0 1.38629436111989 -2.30258509299405 -0.510825623765991 6.5 0 0 0
1 0 0 1 0 0 0 1.38629436111989 -1.20397280432594 0 6.5 0 0 0
1 0 0 0 0 1 0 2.14006616349627 -2.30258509299405 -0.916290731874155 6.941176471 0 0 1
1 0 0 0 0 1 0 1.79175946922805 -2.99573227355399 -1.38629436111989 5.5 0 0 1
1 0 0 1 0 0 0 1.38629436111989 -2.99573227355399 -1.04982212449868 8.5 0 0 2
1 0 0 0 0 1 0 1.09861228866811 -0.510825623765991 2.07944154167984 8 0 0 0
1 1 0 1 0 0 0 1.79175946922805 -2.30258509299405 0 7.5 1 0 0
1 0 0 0 0 1 0 1.6094379124341 -1.6094379124341 -0.22314355131421 8 2 0 0
1 0 0 0 0 1 0 1.6094379124341 -2.30258509299405 0 8 2 0 0
1 0 0 0 0 1 0 1.94591014905531 -2.30258509299405 0 7 2 0 0
1 0 0 1 1 1 0 1.79175946922805 -2.30258509299405 0.693147180559945 6.5 1 0 0
1 0 0 1 0 0 0 1.38629436111989 -2.99573227355399 -0.916290731874155 3.5 1 0 0
0 1 1 1 0 0 0 1.6094379124341 -2.30258509299405 -0.510825623765991 8 0 0 0
0 0 1 1 0 0 0 1.70474809223843 -1.6094379124341 -0.510825623765991 5.454545455 0 1 2
0 0 1 0 0 1 0 1.94591014905531 -2.30258509299405 -0.693147180559945 7 0 0 1
0 0 1 1 0 0 0 1.09861228866811 -2.30258509299405 -0.916290731874155 5 0 0 2
1 0 0 1 1 1 0 1.94591014905531 -3.91202300542815 -0.916290731874155 7 1 0 1
0 1 1 0 0 1 0 1.09861228866811 -2.30258509299405 -1.38629436111989 8 0 0 2
0 1 1 0 0 1 0 1.94591014905531 -1.6094379124341 0 7 0 0 0
0 0 1 1 0 0 0 1.09861228866811 -1.6094379124341 -0.510825623765991 5 0 0 1
0 1 1 1 0 0 0 0.693147180559945 -2.30258509299405 -0.693147180559945 9.5 0 2 2
0 1 1 1 0 0 0 0.693147180559945 -2.99573227355399 -1.20397280432594 7.5 0 2 2
0 0 1 1 0 0 0 1.09861228866811 -1.6094379124341 -0.510825623765991 5 0 2 2
0 0 1 0 0 1 0 1.09861228866811 -1.6094379124341 -0.105360515657826 8 2 2 0
0 1 1 0 0 1 0 1.6094379124341 -1.20397280432594 0 8 0 0 1
0 1 1 1 1 1 0 1.38629436111989 -1.20397280432594 0.78845736036427 7.5 0 1 2
