"x" "y"
365.8 181.2
349.6 185
333.4 185.4
373.86 161.43
380.25 179.5
354.4 168.6
340.6 171.8
323.5 170.5
314.8 184.8
353.86 117.86
341 98.167
358.4 93.2
343.43 74.143
356 60
366 71.8
373.75 106.5
373.67 126
292.6 117
313.5 115.25
331.83 116.67
327 61.333
325.4 80.8
302.5 67.167
290.83 90.833
288.5 152.33
286.4 175.8
262.6 146
272.71 128.71
303.6 168.6
312.86 152.43
320 98
299.4 137.6
333.2 155.4
318.4 132.8
333.5 136.83
353.57 144.86
369.5 144.75
386.4 143.6
365.8 48.8
345.86 49.286
331.25 46.75
313.17 45.167
289.67 48.333
269 48.8
256.5 32.5
280.8 26.8
293 9.75
305.67 27.5
318.4 12
331.29 30.286
339.25 16.25
352.8 30.4
276.83 69.667
250 62.833
265.5 84.667
272.8 104.6
250 106.33
240 85
236.14 129
232.4 149.2
211.4 120.8
225.2 104.4
172.4 118
191.8 124.4
208.33 138.5
192.4 151.8
178.57 161.86
178.5 139.5
163.8 149.4
158.83 132.17
184.5 176.25
201.17 169.33
209.25 154.75
166.4 176.2
159 163.4
154.6 111.2
147.33 177.17
145.71 154
141 128.14
140.75 106.5
128.86 169.71
115.2 155.6
97 156
87.25 137.25
108 134.5
128.17 146.67
122.75 127.5
127.25 112
137.4 188
116.2 186.6
109 173.83
93.5 172.25
92 186.17
75.2 168.8
66.5 188
43.75 194.25
25.2 209
