"Rainfall" "Elevation" "AgeCat" "Geol"
2993.2 20 "1" "Tct"
3072 100 "3" "Tc"
3007.4 180 "2" "Tc"
2999.8 180 "2" "Tc"
2414.3 40 "1" "Tgo"
2393.7 30 "2" "Tgo"
2438.4 60 "2" "Tgo"
2455.5 50 "3" "pT"
2889.3 410 "3" "pT"
2529.3 90 "3" "Tcm"
2515.5 60 "3" "Tcm"
2496.8 10 "1" "Tbo"
2576.3 55 "1" "Tcm"
2534.7 60 "3" "Tcm"
2455 70 "2" "Tgo"
2501.8 160 "3" "pT"
2470.6 120 "3" "pT"
2510.8 58 "1" "Tcm"
2687.7 160 "2" "pT"
2657.5 160 "2" "pT"
2411.4 110 "2" "Tgo"
2513.7 180 "2" "Tb"
2247.5 30 "1" "Tlc"
2279.8 50 "1" "Tlc"
2334.3 110 "1" "pT"
2251.9 50 "1" "pT"
2305.1 180 "2" "Tl"
2293.7 160 "2" "Tl"
1968.5 100 "2" "Tb"
2096.3 180 "2" "Tb"
3291.7 343 "3" "pT"
3293.1 340 "3" "pT"
3615.3 600 "3" "pT"
3106.8 210 "3" "pT"
4001.7 830 "3" "pT"
3029.4 200 "3" "pT"
3133.9 600 "3" "pT"
2517.4 810 "2" "pT"
2400.5 660 "2" "pT"
2623 160 "3" "pT"
2743 280 "3" "pT"
1888 50 "2" "pT"
1890 50 "2" "pT"
1892 50 "2" "pT"
1887 50 "2" "Tb"
3026 140 "1" "Tc"
3026 140 "1" "Tc"
3028 140 "1" "Tc"
3030 140 "1" "Tc"
3032 140 "2" "Tc"
