"Arg" "Leu" "Ser" "Thr" "Pro" "Ala" "Gly" "Val" "Lys" "Asn" "Gln" "His" "Glu" "Asp" "Tyr" "Cys" "Phe" "Ile" "Met" "Trp"
7 16 6 7 8 16 15 17 18 10 4 6 15 14 2 2 14 12 6 3
15 22 16 23 18 31 43 41 20 12 9 12 22 21 7 10 14 22 8 3
7 22 9 13 14 30 20 21 13 4 5 1 16 6 4 3 6 13 4 2
10 14 9 14 15 16 13 10 5 4 4 9 12 17 5 3 8 12 3 4
33 39 21 20 18 35 34 34 13 16 18 14 42 23 18 4 15 28 11 4
22 34 19 20 14 32 16 16 6 8 11 14 18 12 6 3 14 12 8 5
26 44 17 16 14 42 22 18 2 3 9 11 20 10 4 4 15 7 6 6
23 35 27 16 14 31 16 15 5 9 13 7 15 11 7 2 15 17 11 5
20 34 14 22 23 34 40 35 20 21 22 14 40 44 22 7 28 30 11 14
21 36 16 24 20 35 37 35 21 27 20 15 33 47 23 8 25 27 10 14
8 21 14 5 6 6 11 13 15 8 3 1 15 8 12 3 9 16 2 0
7 31 9 8 5 13 14 9 16 4 4 2 14 8 6 4 8 16 1 0
20 30 17 9 17 20 21 11 5 13 17 11 16 14 10 5 17 17 5 6
22 31 19 7 17 21 21 15 7 14 15 12 18 14 10 5 17 16 5 6
5 19 10 10 5 16 10 11 11 6 7 1 12 9 3 1 7 9 4 0
20 49 18 19 15 41 35 32 13 9 11 7 22 19 9 6 10 17 8 2
19 40 22 12 14 27 29 24 15 3 20 13 23 24 5 2 10 14 6 8
9 26 26 28 12 40 25 31 24 17 11 5 19 13 7 0 8 19 9 1
28 18 25 19 15 25 19 14 12 14 11 9 22 25 14 17 17 28 10 5
14 13 5 14 5 18 16 19 10 5 14 6 14 13 5 2 6 9 5 3
13 13 3 13 6 21 18 19 9 6 12 6 12 13 5 2 6 9 7 3
15 33 14 22 24 37 36 19 20 16 16 9 32 18 17 7 17 29 17 7
2 2 5 4 1 3 8 5 6 2 8 1 4 4 0 0 7 4 2 1
26 41 18 30 14 72 58 60 40 19 18 3 43 34 7 3 7 32 22 0
35 76 40 32 23 68 46 61 25 24 32 13 66 41 7 3 16 40 22 1
21 37 24 15 20 39 28 27 16 10 13 9 18 17 3 3 7 21 20 1
21 32 24 15 21 40 27 28 16 9 12 10 19 16 4 2 7 24 21 1
7 20 9 12 5 11 13 22 5 8 6 0 12 11 4 0 5 13 4 0
7 20 8 10 5 11 15 22 5 8 5 1 14 9 4 1 5 13 4 0
14 23 13 9 9 25 7 12 6 5 20 3 15 22 2 0 5 12 10 2
17 23 14 8 4 19 13 18 8 6 21 7 21 20 4 0 5 9 8 2
26 39 37 29 17 44 41 50 30 20 12 14 33 27 12 8 18 34 9 0
18 32 18 8 10 37 17 19 18 12 11 4 25 16 4 2 10 22 8 0
7 12 4 4 4 11 6 7 3 4 6 0 4 10 1 2 1 9 2 1
4 7 5 5 1 15 4 13 6 2 6 0 8 6 0 1 2 7 2 1
27 30 16 17 14 30 20 30 6 8 12 7 22 8 5 2 16 19 4 1
28 41 34 13 26 36 42 21 10 19 26 25 29 30 18 4 18 21 18 18
43 89 63 33 29 46 39 49 46 54 46 29 60 42 38 10 48 51 12 16
52 101 62 33 36 47 53 53 35 41 41 31 60 46 42 16 40 48 13 15
52 105 70 35 35 53 46 59 28 38 45 30 58 39 35 15 37 39 13 16
21 42 23 15 13 39 13 19 8 4 15 13 21 12 6 3 9 16 5 2
7 5 7 11 4 11 14 16 13 13 5 4 11 12 4 1 12 11 7 1
20 27 19 24 15 30 18 29 15 8 12 12 17 19 12 1 13 24 7 2
