"marknames" "allbyloc" "chromosome" "maposition"
"L001" "280we5" 13 "1" 4
"L002" "ggaa3a07z" 12 "1" 16.2
"L003" "GATA27E01" 9 "1" 29.9
"L004" "GATA29A05" 12 "1" 37.1
"L005" "ATA47D07" 9 "1" 46.6
"L006" "ATA79C10" 12 "1" 62.7
"L007" "GATA129H04" 17 "1" 72.6
"L008" "GATA72H07" 14 "1" 75.7
"L009" "GATA26G09" 8 "1" 89.5
"L010" "GATA61A06" 19 "1" 102.02
"L011" "GATA109" 9 "1" 109
"L012" "GATA6A05" 10 "1" 113.7
"L013" "GATA124C08" 9 "1" 129.4
"L014" "GATA133A08" 12 "1" 137.6
"L015" "ATA25E07" 7 "1" 139
"L016" "ATA42G12" 10 "1" 139
"L017" "GATA12A07" 18 "1" 151.9
"L018" "GATA43A04" 11 "1" 164.1
"L019" "GGAA5F09" 20 "1" 170.8
"L020" "GGAA22G10" 11 "1" 175.6
"L021" "ATA4E02" 11 "1" 192.1
"L022" "GATA7C01" 11 "1" 202.2
"L023" "GATA48B01" 9 "1" 212.4
"L024" "GATA124F08" 8 "1" 226
"L025" "GATA4H09" 11 "1" 239.7
"L026" "ATA29C07" 11 "1" 247.2
"L027" "203yg9" 19 "1" 254.6
"L028" "GATA22D12" 10 "1" 265.5
"L029" "GATA50F11" 15 "1" 274.5
"L030" "272XC9" 13 "1" 288
"L031" "SRA" 8 "2" 0
"L032" "GATA72G11" 13 "2" 10
"L033" "GATA116B01" 17 "2" 17.9
"L034" "GGAA20G10" 15 "2" 27.6
"L035" "GATA11H10" 15 "2" 38.3
"L036" "GATA8F07" 8 "2" 48
"L037" "GATA86E02" 15 "2" 55.5
"L038" "ATA4F03" 10 "2" 64.3
"L039" "ATA27D04" 10 "2" 73.6
"L040" "GATA8F03" 15 "2" 87
"L041" "GATA69E12" 9 "2" 90.8
"L042" "GATA88G05" 18 "2" 103
"L043" "GATA176C01" 14 "2" 114.4
"L044" "GATA4E11" 16 "2" 125.2
"L045" "GATA27A12" 9 "2" 132.6
"L046" "GATA4D07" 20 "2" 145.1
"L047" "GGAA20G04" 12 "2" 152
"L048" "ATA27H09" 11 "2" 164.5
"L049" "GATA71D01" 10 "2" 173
"L050" "GATA65C03" 14 "2" 186.2
"L051" "GATA52A04" 15 "2" 200.4
"L052" "GATA30E06" 9 "2" 210.4
"L053" "GATA4G12" 10 "2" 215.8
"L054" "GATA23D03" 10 "2" 227
"L055" "GATA12H10" 10 "2" 236.7
"L056" "GATA178G09" 11 "2" 251.9
"L057" "2QTEL47" 12 "2" 264.5
"L058" "GATA22G12" 27 "3" 5.5
"L059" "296ZF5" 18 "3" 10.7
"L060" "217XD6" 18 "3" 19
"L061" "GATA164B08" 28 "3" 26
"L062" "GGAA4B09" 20 "3" 37
"L063" "GATA73D01" 14 "3" 44.8
"L064" "GATA27C08" 13 "3" 58
"L065" "GATA8B05" 10 "3" 62
"L066" "ATA10H11" 10 "3" 71
"L067" "GATA6F06" 10 "3" 78.6
"L068" "318YF1" 9 "3" 91.2
"L069" "GATA7F05" 9 "3" 104
"L070" "GATA128C02" 6 "3" 112
"L071" "GATA84B12" 11 "3" 124.2
"L072" "GATA68F07" 9 "3" 135
"L073" "ATA34G06" 11 "3" 138
"L074" "GATA4A10" 14 "3" 152.6
"L075" "GATA3C02" 11 "3" 161
"L076" "GATA8F01" 27 "3" 170
"L077" "GATA3H01" 10 "3" 176.5
"L078" "GATA22F11" 29 "3" 188
"L079" "059xa9" 14 "3" 201.1
"L080" "GATA6G12" 9 "3" 209.4
"L081" "ATA22E01" 12 "3" 216
"L082" "254ve1" 16 "3" 224.9
"L083" "4PTEL04" 11 "4" 0
"L084" "GATA22G05" 8 "4" 12.9
"L085" "157xg3" 13 "4" 25.9
"L086" "GATA70E01" 17 "4" 35
"L087" "ATA27C07" 9 "4" 43
"L088" "GATA72G09" 21 "4" 51
"L089" "GATA7D01" 8 "4" 60.2
"L090" "GATA28F03" 10 "4" 72.5
"L091" "GATA24H01" 10 "4" 78
"L092" "GATA10G07" 11 "4" 88
"L093" "ATA2A03" 16 "4" 93.5
"L094" "GATA2F11" 10 "4" 104.9
"L095" "GATA62A12" 13 "4" 114
"L096" "ATA26B08" 11 "4" 130
"L097" "GATA11E09" 13 "4" 143.3
"L098" "GATA107" 10 "4" 146
"L099" "GATA8A05" 8 "4" 158
"L100" "GATA27G03" 8 "4" 167.6
"L101" "GGAA19H07" 21 "4" 176.2
"L102" "GATA42H02" 8 "4" 181.9
"L103" "165xc11" 13 "4" 195.1
